Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2003-03-14,,,,,,,,,,4,,,,,,,,,,,,,,
2003-03-21,,,,,,,,,2,,,3,,,,,,,,,,,,
2003-03-22,,,,,,,,,2,2,,,,,,,,,,,,,,
2003-03-25,,,,,,,,,1,,,,9,,1,,,,,,,,,
2003-03-28,,,,,,,,,,1,3,2,11,1,,,,,,,,,,
2003-03-30,,,,,,,,,8,32,47,,,,,,1,,,,,,,
2003-04-01,,,,,,,,,,,4,11,,,,,,,,,,,,
2003-04-04,,,,,,,,,,,,,5,2,3,5,7,1,,,,,,
2003-04-07,,,,,,,,,,,,,1,1,2,6,5,3,3,2,,1,3,
2003-04-08,,,,,,,,,1,3,2,3,4,2,3,4,6,3,,4,2,1,3,
2003-04-09,1.0,1.0,1.0,1.0,1.0,1.0,10,9,1,2,1,2,1,3,3,,2,18,10,6,1,1,2,1
2003-04-10,1.0,1.0,1.0,1.0,1.0,1.0,9,11,1,1,,,1,3,2,2,12,14,7,3,2,,,
2003-04-11,,,,,,,,,,3,2,,,1,6,3,4,10,4,3,1,1,2,2
2003-04-12,0.7,0.7,0.7,0.7,0.7,0.7,6,1,3,1,5,,4,1,3,,4,1,7,2,3,,,
2003-04-13,0.2,0.2,0.2,0.2,0.2,0.2,,2,4,13,13,17,24,14,17,26,22,4,7,1,2,,1,1
2003-04-14,0.8,0.8,0.8,0.8,0.8,0.8,7,9,4,,4,1,1,3,3,2,,11,10,,2,,,
2003-04-15,0.2,0.2,0.2,0.2,0.2,0.2,6,9,3,,3,1,1,3,5,2,12,20,19,1,1,1,,
2003-04-16,,,,,,,5,5,2,4,6,3,5,4,3,1,6,4,1,2,,,,
2003-04-17,0.5,0.5,0.5,0.5,0.5,0.5,3,6,5,2,3,4,3,2,1,5,6,12,12,2,5,,6,1
2003-04-18,0.3,0.3,0.3,0.3,0.3,0.3,,1,5,4,3,2,5,21,8,14,22,1,6,5,1,2,1,1
2003-04-19,0.3,0.3,0.3,0.3,0.3,0.3,3,2,2,1,1,4,4,1,8,11,6,2,4,2,3,,1,
2003-04-20,,,,,,,,,,1,11,10,4,9,11,11,17,10,2,3,1,1,1,
2003-04-21,0.2,0.2,0.2,0.2,0.2,0.2,1,1,,4,3,4,2,4,2,3,,7,11,5,1,1,1,1
2003-04-22,0.2,0.2,0.2,0.2,0.2,0.2,6,,1,3,1,6,1,6,3,5,18,22,12,7,5,2,3,1
2003-04-23,0.3,0.3,0.3,0.3,0.3,0.3,3,4,4,5,1,2,4,3,2,1,6,35,13,6,4,,2,
2003-04-24,0.5,0.5,0.5,0.5,0.5,0.5,4,6,6,2,2,1,,2,3,4,8,1,,,,,,2
2003-04-26,,,,,,,,,,,2,3,2,2,2,1,,,2,1,1,,1,
2003-04-27,0.3,0.3,0.3,0.3,0.3,0.3,1,3,2,,1,4,,6,15,5,7,12,4,4,1,1,,
2003-04-28,0.8,0.8,0.8,0.8,0.8,0.8,9,1,,2,,,1,,1,15,1,1,1,,1,,2,
2003-04-29,0.2,0.2,0.2,0.2,0.2,0.2,5,5,,2,1,1,1,2,1,2,,1,4,6,4,4,2,
2003-04-30,1.0,1.0,1.0,1.0,1.0,1.0,3,4,3,3,2,2,2,1,1,,4,2,12,15,4,2,1,1
