Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2010-01-05,,,,,,,,3,1,1,,,,,,1,,2,,,,,,
2010-01-08,,,,,,,,1,,,,,2,,,,1,1,,,,,,
2010-01-10,,,,,,,,,,1,,1,1,,,,2,,,,,,,
2010-01-16,,,,,,,,,,,,,1,1,4,3,,,,,,,,
2010-01-17,,,,,,,,,,,5,10,2,3,4,2,1,,,,,,,
2010-01-18,,,,,,,,1,,1,2,,,,2,1,1,,,,,,,
2010-01-19,,,,,,,,,1,,,,,,,1,3,1,,,,,,
2010-01-20,,,,,,,,,,1,1,,,,,2,,,,,,,,
2010-01-21,,,,,,,,3,4,2,,1,1,,1,2,3,1,,,,,,
2010-01-22,,,,,,,,,,,1,,1,1,1,2,1,,,,,,,
2010-01-23,,,,,,,,,,2,,1,1,7,2,1,,,,1,,,,
2010-01-24,,,,,,,,,,2,3,7,2,2,1,4,3,,,,,,,
2010-01-25,,,,,,,,1,2,,2,,1,1,2,3,3,,,,,,,
2010-01-26,,,,,,,,4,2,1,1,1,,,4,3,2,1,2,,,,,
2010-01-27,,,,,,,,2,3,1,2,2,1,2,1,3,3,,,,,,,
2010-01-28,,,,,,,,2,7,,3,,1,1,3,3,2,1,1,,,,,
2010-01-29,,,,,,,,3,5,,,2,2,2,2,4,4,2,,,,,,
2010-01-30,,,,,,,,1,,1,3,5,7,2,4,6,4,,,,,,,
2010-01-31,,,,,,,,,,4,5,6,2,5,9,9,1,1,1,,,,,
2010-02-01,,,,,,,,2,7,2,1,2,3,1,1,4,4,,1,,,,,
2010-02-02,,,,,,,1,2,8,1,1,,,2,,2,3,,,,,,,
2010-02-03,,,,,,,,4,5,,3,2,2,3,,4,1,3,,1,,,,
2010-02-04,,,,,,,1,2,1,,,1,,1,,,1,1,1,,,,,
2010-02-05,,,,,,,1,3,6,1,,,,2,1,4,3,,,,,,,
2010-02-06,,,,,,,,,1,2,,7,6,3,2,4,2,2,2,,,2,,
2010-02-07,,,,,,,,,2,5,3,5,2,3,6,1,8,2,1,,,,,
2010-02-08,,,,,,,,3,6,1,3,,3,1,3,3,2,2,1,,,1,,
2010-02-09,,,,,,,,6,3,1,4,1,1,3,3,3,,2,1,2,,,,
2010-02-10,,,,,,,,,3,1,1,2,1,,,5,3,3,2,1,,,,
2010-02-11,,,,,,,,2,4,4,1,,,1,4,4,7,2,2,,1,,,
2010-02-12,,,,,,,,2,4,2,,2,1,4,2,,6,,,1,,,,
2010-02-13,,,,,,,,,1,4,1,4,2,3,4,,,2,1,,,,,
2010-02-14,,,,,,,,,,,4,7,10,8,11,8,4,,,,,,,
2010-02-15,,,,,,,,2,5,1,1,4,1,2,1,2,2,3,2,,,,,
2010-02-16,,,,,,,1,2,8,1,2,7,2,1,5,11,5,3,3,,,,,
2010-02-17,,,,,,,1,3,4,2,,,,4,1,1,5,3,,,,,,
2010-02-18,,,,,,,3,4,8,,2,1,2,,2,3,,1,1,,,,,
2010-02-19,,,,,,,1,1,6,2,1,2,2,8,4,2,2,2,,,1,,,
2010-02-20,,,,,,,,,3,5,6,3,6,8,9,5,4,2,,,,,,
2010-02-21,,,,,,,,,,3,,1,1,1,,1,,1,,,,,,
2010-02-22,,,,,,,1,1,1,,1,1,,1,,1,3,1,2,1,,,,
2010-02-23,,,,,,,1,4,6,3,2,,1,,,4,4,6,2,,,,,
2010-02-24,0.3,0.3,0.3,0.3,0.3,0.3,1,5,5,3,,,1,1,1,6,2,3,,,,,,
2010-02-25,,,,,,,,3,7,,,,,1,,2,2,3,1,,,,,
2010-02-26,,,,,,,,1,4,1,,,,,,1,,4,,,,,,
2010-02-27,,,,,,,,,,1,3,4,4,,3,2,3,1,1,,,,,
2010-02-28,,,,,,,,,2,2,2,3,2,,,,4,1,,,,,,
2010-03-01,,,,,,,,3,5,3,4,2,2,2,2,4,1,,3,,,,,
2010-03-02,,,,,,,1,5,6,,4,1,2,2,7,1,5,2,2,,,,,
2010-03-03,,,,,,,2,4,8,3,1,1,1,2,2,6,4,2,1,3,,,3,
2010-03-04,,,,,,,1,4,8,1,2,3,1,5,,2,4,9,2,,,,,
2010-03-05,,,,,,,2,7,7,3,,2,1,2,2,2,3,3,1,1,,,,
2010-03-06,,,,,,,,2,3,1,1,4,2,1,6,9,6,5,2,,,,,
2010-03-07,,,,,,,,,3,4,4,3,7,9,10,13,10,6,,,,,,
2010-03-08,,,,,,,1,2,13,4,,4,1,5,3,6,,7,1,,,,,
2010-03-09,,,,,,,1,4,11,3,,2,2,4,2,4,4,10,1,2,,,,
2010-03-10,,,,,,,1,6,11,2,1,1,3,7,1,4,4,7,1,1,,,,
2010-03-11,,,,,,,2,6,11,2,1,1,3,5,2,2,5,8,2,,,,,
2010-03-12,,,,,,,2,2,12,2,,1,,4,,5,2,2,1,1,,,,
2010-03-13,,,,,,,,2,4,7,4,5,12,11,10,8,7,8,1,,,,,
2010-03-14,,,,,,,,1,,1,9,10,5,4,4,11,2,2,,,,,,
2010-03-15,,,,,,,1,8,15,2,3,1,1,3,21,6,5,5,2,,,,,
2010-03-16,,,,,,,2,10,11,4,3,2,7,1,1,4,3,5,3,,1,,,
2010-03-17,,,,,,,1,10,17,2,1,6,1,4,2,1,9,2,2,,,,,
2010-03-18,,,,,,,2,15,10,3,1,2,3,6,1,4,8,4,,,,,,
2010-03-19,,,,,,,2,11,10,5,5,5,1,1,3,2,4,8,1,,,,,
2010-03-20,,,,,,,1,1,2,1,1,3,2,,4,3,1,,1,,1,,,
2010-03-21,,,,,,,,1,4,5,10,13,10,13,10,21,26,11,3,,,,,
2010-03-22,,,,,,,3,10,10,3,8,3,2,14,2,2,6,4,4,,,,,
2010-03-23,,,,,,,1,8,13,6,4,3,4,7,1,4,2,7,4,1,,,,
2010-03-24,,,,,,,1,8,9,3,1,3,1,2,1,3,5,3,4,,,,,
2010-03-25,,,,,,,1,10,12,2,1,2,1,3,1,9,6,10,4,,,1,,
2010-03-26,,,,,,,1,4,10,2,2,2,2,1,6,4,6,1,1,,,,,
2010-03-27,,,,,,,1,3,4,5,3,7,6,3,7,14,3,4,2,,,,,
2010-03-28,,,,,,,,,,2,5,1,11,5,16,5,9,3,1,,1,2,1,
2010-03-29,,,,,,,1,8,10,4,,2,7,2,,,1,2,4,,,,,
2010-03-30,0.2,0.2,0.2,0.2,0.2,0.2,3,7,5,,,2,1,,,2,3,4,6,1,1,,,
2010-03-31,,,,,,,1,10,7,1,1,,,1,,3,2,2,4,,,,1,
2010-04-01,,,,,,,,1,8,4,,3,2,4,3,1,2,8,4,,,,,
2010-04-02,0.2,0.2,0.2,0.2,0.2,0.2,,1,,3,5,9,8,8,3,6,3,2,1,1,,,,
2010-04-03,,,,,,,1,1,,1,2,1,1,11,8,11,10,5,4,2,,,,
2010-04-04,,,,,,,,,3,5,6,9,5,7,12,4,,5,5,6,,,,
2010-04-05,,,,,,,,1,,3,1,7,1,1,7,9,10,13,6,,2,,,
2010-04-06,,,,,,,4,9,6,1,1,4,,7,7,1,4,8,6,4,1,,,
2010-04-07,,,,,,,2,9,8,,,2,1,3,2,1,7,9,3,1,,,,
2010-04-08,,,,,,,2,10,12,5,6,5,18,12,11,1,17,16,5,4,4,1,,
2010-04-09,,,,,,,2,6,8,5,2,5,4,7,9,13,5,6,5,3,5,,,
2010-04-10,,,,,,,1,,4,6,2,9,16,5,17,28,14,12,8,6,,,,
2010-04-11,,,,,,,,1,2,4,11,13,7,19,27,14,19,12,4,5,4,,,
2010-04-12,,,,,,,3,4,21,2,9,4,2,3,4,5,9,8,13,14,3,,,
2010-04-13,,,,,,,2,9,16,3,3,3,8,2,4,8,6,4,2,4,2,,,
2010-04-14,,,,,,,,7,13,5,2,9,2,5,3,11,6,6,10,4,3,,,
2010-04-15,,,,,,,,7,14,6,1,5,1,7,3,9,7,9,11,2,3,,,
2010-04-16,,,,,,,1,10,12,1,10,6,5,10,11,7,3,11,5,3,6,,1,
2010-04-17,,,,,,,,2,4,4,6,11,15,3,9,16,10,11,3,6,2,,,
2010-04-18,,,,,,,,1,,4,3,7,7,14,12,6,7,10,5,3,,,,
2010-04-19,,,,,,,1,4,8,2,1,,1,1,3,1,4,5,7,5,3,,,
