Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2016-01-01,1.3,1.3,1.3,1.3,1.3,1.3,6,3,3,6,14,13,13,14,12,11,4,9,4,3,5,4,2,1
2016-01-02,1.3,1.3,1.3,1.3,1.3,1.3,16,6,11,14,15,16,9,5,7,6,9,9,8,4,4,6,3,2
2016-01-03,1.5,1.5,1.5,1.5,1.5,1.5,11,9,11,16,19,23,17,9,3,5,10,8,8,7,3,5,4,1
2016-01-04,2.8,2.8,2.8,2.8,2.8,2.8,37,75,109,21,13,17,14,15,17,19,27,26,24,12,12,5,14,1
2016-01-05,3.7,3.7,3.7,3.7,3.7,3.7,35,86,115,34,7,17,13,13,22,27,27,36,22,15,6,7,16,
2016-01-06,3.5,3.5,3.5,3.5,3.5,3.5,31,87,112,28,9,9,15,24,26,25,26,38,23,7,7,8,15,1
2016-01-07,2.0,2.0,2.0,2.0,2.0,2.0,31,70,94,30,13,9,8,8,25,17,26,30,17,13,8,6,9,3
2016-01-08,3.5,3.5,3.5,3.5,3.5,3.5,38,79,91,28,13,20,14,16,18,25,28,29,17,11,19,7,4,4
2016-01-09,1.8,1.8,1.8,1.8,1.8,1.8,19,8,13,16,13,10,13,17,16,12,14,8,8,6,2,2,,2
2016-01-10,1.2,1.2,1.2,1.2,1.2,1.2,5,7,8,13,17,13,25,12,17,17,10,12,10,6,9,3,2,3
2016-01-11,2.5,2.5,2.5,2.5,2.5,2.5,39,89,107,30,17,15,17,20,25,19,24,34,16,16,9,8,10,1
2016-01-12,2.8,2.8,2.8,2.8,2.8,2.8,47,85,129,33,21,14,15,16,23,12,30,32,24,12,8,9,17,1
2016-01-13,3.5,3.5,3.5,3.5,3.5,3.5,45,85,93,39,13,7,28,14,22,30,18,36,25,11,4,11,14,
2016-01-14,2.2,2.2,2.2,2.2,2.2,2.2,34,72,88,18,8,7,12,9,25,15,23,35,20,12,4,6,15,
2016-01-15,2.5,2.5,2.5,2.5,2.5,2.5,37,52,82,24,13,11,13,25,13,26,25,23,18,9,14,4,,1
2016-01-16,3.2,3.2,3.2,3.2,3.2,3.2,11,8,16,12,13,16,16,16,26,11,10,6,8,12,9,4,3,3
2016-01-17,1.7,1.7,1.7,1.7,1.7,1.7,9,10,4,9,11,11,15,8,7,9,8,4,10,5,1,8,2,1
2016-01-18,2.5,2.5,2.5,2.5,2.5,2.5,38,78,112,35,16,5,13,10,24,31,36,36,25,13,5,7,12,2
2016-01-19,3.2,3.2,3.2,3.2,3.2,3.2,49,82,109,27,24,12,14,15,22,23,21,42,21,9,8,7,12,5
2016-01-20,3.8,3.8,3.8,3.8,3.8,3.8,38,81,101,25,14,10,12,17,20,17,30,34,25,13,9,7,13,3
2016-01-21,2.8,2.8,2.8,2.8,2.8,2.8,39,80,89,22,12,16,15,11,27,19,16,38,23,13,8,11,11,1
2016-01-22,2.8,2.8,2.8,2.8,2.8,2.8,31,70,92,18,10,5,8,17,13,24,24,29,20,11,12,9,2,2
2016-01-23,2.3,2.3,2.3,2.3,2.3,2.3,16,13,11,20,17,20,15,17,23,8,9,9,13,11,3,5,,2
2016-01-24,1.3,1.3,1.3,1.3,1.3,1.3,12,5,6,16,17,19,17,20,14,8,8,9,16,5,4,5,2,
2016-01-25,2.7,2.7,2.7,2.7,2.7,2.7,28,88,96,39,11,9,15,13,23,29,37,28,24,16,4,7,10,3
2016-01-26,2.7,2.7,2.7,2.7,2.7,2.7,40,90,100,25,8,16,9,16,24,18,30,31,24,10,8,8,15,2
2016-01-27,2.7,2.7,2.7,2.7,2.7,2.7,42,71,84,30,6,9,10,13,19,19,18,25,17,16,10,10,15,1
2016-01-28,2.7,2.7,2.7,2.7,2.7,2.7,41,85,89,28,21,15,16,12,28,15,34,33,20,15,5,8,15,
2016-01-29,1.8,1.8,1.8,1.8,1.8,1.8,44,66,61,12,7,15,8,18,17,28,21,22,15,9,16,8,3,2
2016-01-30,3.2,3.2,3.2,3.2,3.2,3.2,24,11,13,13,17,9,14,9,20,8,11,9,15,6,5,7,1,2
2016-01-31,1.5,1.5,1.5,1.5,1.5,1.5,10,6,11,12,12,17,7,11,4,9,11,10,17,8,3,3,1,3
2016-02-01,3.5,3.5,3.5,3.5,3.5,3.5,39,81,108,20,13,9,13,14,23,21,26,33,17,9,3,1,6,5
2016-02-02,3.0,3.0,3.0,3.0,3.0,3.0,42,74,76,19,8,12,10,8,19,15,30,30,24,8,7,5,11,4
2016-02-03,3.5,3.5,3.5,3.5,3.5,3.5,38,92,94,30,16,15,5,21,26,29,31,37,13,14,6,7,15,3
2016-02-04,3.7,3.7,3.7,3.7,3.7,3.7,37,94,99,27,7,11,8,16,22,16,33,36,26,20,9,11,7,4
2016-02-05,2.8,2.8,2.8,2.8,2.8,2.8,37,76,88,17,22,15,14,21,14,15,32,30,23,5,14,3,6,3
2016-02-06,2.7,2.7,2.7,2.7,2.7,2.7,10,15,11,17,5,10,12,7,8,4,10,9,9,6,4,1,3,1
2016-02-07,1.2,1.2,1.2,1.2,1.2,1.2,7,11,7,22,15,14,22,15,11,15,11,10,7,7,4,6,4,3
2016-02-08,1.7,1.7,1.7,1.7,1.7,1.7,39,66,91,25,13,7,11,13,20,21,41,30,20,15,8,6,7,2
2016-02-09,2.2,2.2,2.2,2.2,2.2,2.2,48,83,90,27,18,15,10,16,18,14,35,39,28,12,7,6,14,1
2016-02-10,3.5,3.5,3.5,3.5,3.5,3.5,40,92,106,27,18,10,19,12,29,17,28,38,28,12,5,7,14,3
2016-02-11,3.3,3.3,3.3,3.3,3.3,3.3,39,73,89,24,12,8,9,22,25,21,26,37,14,18,8,6,15,1
2016-02-12,2.0,2.0,2.0,2.0,2.0,2.0,39,60,80,19,12,10,10,29,21,19,23,31,24,7,12,6,3,6
2016-02-13,2.3,2.3,2.3,2.3,2.3,2.3,16,11,8,12,6,18,11,17,20,14,10,6,12,5,4,6,4,4
2016-02-14,1.2,1.2,1.2,1.2,1.2,1.2,8,5,3,12,10,18,17,15,11,9,9,10,8,6,3,7,2,
2016-02-15,2.0,2.0,2.0,2.0,2.0,2.0,18,35,49,9,13,7,9,11,26,9,24,22,13,8,5,6,11,1
2016-02-16,2.2,2.2,2.2,2.2,2.2,2.2,29,68,67,25,18,17,12,17,21,11,23,25,19,18,9,7,17,1
2016-02-17,2.5,2.5,2.5,2.5,2.5,2.5,30,51,63,12,7,10,8,5,18,9,21,13,9,9,3,4,10,3
2016-02-18,2.2,2.2,2.2,2.2,2.2,2.2,36,62,69,23,13,13,12,15,24,7,32,37,20,13,4,6,7,1
2016-02-19,2.7,2.7,2.7,2.7,2.7,2.7,42,47,64,19,14,16,11,22,16,11,16,17,20,8,12,5,2,1
2016-02-20,3.8,3.8,3.8,3.8,3.8,3.8,10,16,19,16,8,17,15,16,10,11,12,9,16,6,5,6,8,2
2016-02-21,1.5,1.5,1.5,1.5,1.5,1.5,12,8,12,13,9,7,18,3,6,6,16,14,9,9,6,4,1,4
2016-02-22,3.2,3.2,3.2,3.2,3.2,3.2,39,91,97,34,12,15,16,17,25,24,32,35,23,12,6,8,11,1
2016-02-23,3.0,3.0,3.0,3.0,3.0,3.0,47,84,115,25,22,12,23,12,31,19,35,31,25,18,4,15,13,3
2016-02-24,3.2,3.2,3.2,3.2,3.2,3.2,43,83,85,35,10,15,22,15,27,21,35,22,17,12,7,14,13,1
2016-02-25,3.3,3.3,3.3,3.3,3.3,3.3,41,85,95,29,9,13,11,14,24,18,28,31,21,10,14,6,6,2
2016-02-26,2.8,2.8,2.8,2.8,2.8,2.8,35,71,84,26,12,14,14,16,14,24,42,29,24,15,11,7,1,3
2016-02-27,2.8,2.8,2.8,2.8,2.8,2.8,14,12,15,16,13,10,19,21,26,8,13,9,15,13,6,6,2,6
2016-02-28,2.2,2.2,2.2,2.2,2.2,2.2,6,6,6,18,19,11,30,23,14,13,11,12,15,8,6,2,6,
2016-02-29,2.3,2.3,2.3,2.3,2.3,2.3,44,75,95,29,13,12,11,7,20,21,32,28,25,10,9,4,9,3
2016-03-01,3.2,3.2,3.2,3.2,3.2,3.2,44,77,73,36,13,10,11,16,24,11,27,28,34,16,6,9,15,5
2016-03-02,3.3,3.3,3.3,3.3,3.3,3.3,37,87,80,20,4,7,6,7,21,10,16,28,19,9,7,8,8,1
2016-03-03,2.5,2.5,2.5,2.5,2.5,2.5,41,83,83,27,19,19,12,14,21,17,25,40,23,13,8,8,11,3
2016-03-04,2.2,2.2,2.2,2.2,2.2,2.2,30,59,65,16,4,12,9,11,11,7,26,14,16,2,7,7,8,3
2016-03-05,2.7,2.7,2.7,2.7,2.7,2.7,20,9,9,10,11,12,16,16,11,7,10,8,13,7,3,8,3,4
2016-03-06,1.0,1.0,1.0,1.0,1.0,1.0,11,5,11,6,20,16,12,9,13,9,15,14,12,8,6,2,4,3
2016-03-07,2.8,2.8,2.8,2.8,2.8,2.8,37,78,97,36,12,16,16,10,20,12,19,32,30,12,7,6,16,2
2016-03-08,2.3,2.3,2.3,2.3,2.3,2.3,50,77,94,21,15,8,10,15,25,17,34,34,22,17,12,6,12,2
2016-03-09,2.2,2.2,2.2,2.2,2.2,2.2,36,77,63,16,3,5,6,4,19,14,23,20,16,8,9,8,4,
2016-03-10,2.5,2.5,2.5,2.5,2.5,2.5,42,73,82,35,9,23,17,18,26,16,28,33,23,13,11,12,9,1
2016-03-11,2.3,2.3,2.3,2.3,2.3,2.3,36,75,80,25,6,13,10,24,21,29,37,32,26,13,9,3,6,2
2016-03-12,2.2,2.2,2.2,2.2,2.2,2.2,15,13,24,23,18,17,30,18,25,17,12,19,15,9,5,10,2,3
2016-03-13,1.3,1.3,1.3,1.3,1.3,1.3,8,6,5,15,20,16,15,18,23,12,15,22,19,5,7,3,3,
2016-03-14,3.5,3.5,3.5,3.5,3.5,3.5,36,83,95,38,14,17,8,14,23,33,30,38,23,15,14,7,14,2
2016-03-15,3.0,3.0,3.0,3.0,3.0,3.0,46,85,87,33,15,13,16,21,22,21,36,42,26,16,14,10,16,1
2016-03-16,3.3,3.3,3.3,3.3,3.3,3.3,45,91,86,26,18,17,17,23,24,32,41,27,26,14,11,9,16,2
2016-03-17,3.7,3.7,3.7,3.7,3.7,3.7,48,92,76,24,11,15,8,10,24,22,44,37,20,14,7,6,11,2
2016-03-18,3.2,3.2,3.2,3.2,3.2,3.2,37,86,77,21,4,21,13,29,25,28,28,24,20,10,12,5,8,4
2016-03-19,3.2,3.2,3.2,3.2,3.2,3.2,21,12,16,19,20,20,7,15,13,13,9,7,9,5,6,9,5,2
2016-03-20,1.3,1.3,1.3,1.3,1.3,1.3,9,8,18,21,19,21,17,17,21,7,6,12,9,8,9,7,4,
2016-03-21,2.0,2.0,2.0,2.0,2.0,2.0,47,83,85,33,19,15,18,19,24,34,29,43,31,14,12,5,12,2
2016-03-22,3.5,3.5,3.5,3.5,3.5,3.5,43,82,91,33,22,21,16,25,20,26,33,40,30,15,9,10,9,
2016-03-23,3.7,3.7,3.7,3.7,3.7,3.7,42,99,72,30,28,16,21,23,25,24,27,29,26,20,6,11,14,1
2016-03-24,3.0,3.0,3.0,3.0,3.0,3.0,44,74,77,26,12,15,13,14,14,18,34,37,17,16,11,12,3,3
2016-03-25,1.7,1.7,1.7,1.7,1.7,1.7,22,12,14,20,30,34,28,21,46,20,12,16,12,5,8,9,1,2
2016-03-26,2.0,2.0,2.0,2.0,2.0,2.0,18,6,9,10,10,9,10,13,18,9,21,10,4,3,6,2,3,2
2016-03-27,1.2,1.2,1.2,1.2,1.2,1.2,9,7,4,16,14,12,20,8,6,12,6,8,10,6,6,3,1,2
2016-03-28,1.2,1.2,1.2,1.2,1.2,1.2,9,1,4,7,5,7,5,10,14,10,11,13,11,14,6,4,,3
2016-03-29,2.7,2.7,2.7,2.7,2.7,2.7,35,51,70,22,11,11,16,12,18,11,30,34,18,16,13,3,10,5
2016-03-30,3.0,3.0,3.0,3.0,3.0,3.0,32,68,66,27,18,23,17,13,21,14,24,30,17,14,13,9,13,2
2016-03-31,2.8,2.8,2.8,2.8,2.8,2.8,40,66,76,23,17,16,27,23,31,23,38,34,23,8,6,10,9,1
2016-04-01,3.2,3.2,3.2,3.2,3.2,3.2,40,65,61,25,9,16,18,19,21,17,22,24,14,7,10,4,6,
