Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2016-01-01,,,,,,,,,2,2,5,9,13,19,14,14,2,,1,,,,,
2016-01-02,,,,,,,,1,,3,4,6,6,5,4,6,3,5,,1,1,,,1
2016-01-03,,,,,,,2,2,3,9,15,10,6,4,1,1,2,,,,2,1,,1
2016-01-04,,,,,,,2,4,3,3,7,4,3,2,2,3,5,5,2,4,6,1,,
2016-01-05,0.2,0.2,0.2,0.2,0.2,0.2,2,5,3,3,4,11,5,4,5,2,3,8,1,,2,1,2,1
2016-01-06,,,,,,,3,3,7,,3,4,3,7,5,5,4,4,3,1,1,3,,1
2016-01-07,,,,,,,2,4,5,3,1,,1,1,3,2,4,5,1,,1,2,,1
2016-01-08,,,,,,,1,2,6,3,7,2,4,11,12,6,2,1,3,2,,1,,1
2016-01-09,,,,,,,,,4,6,4,7,7,10,20,5,3,4,1,,,,,4
2016-01-10,,,,,,,2,2,4,2,6,16,14,10,18,16,1,2,,,1,1,,1
2016-01-11,,,,,,,1,3,4,3,8,3,2,4,10,2,6,6,2,1,1,3,1,
2016-01-12,,,,,,,,4,3,5,7,2,5,1,4,4,4,7,,,2,1,1,1
2016-01-13,,,,,,,2,5,3,2,9,7,5,3,5,4,5,6,1,3,1,,1,1
2016-01-14,,,,,,,1,4,3,2,2,,,1,,1,1,4,3,2,1,1,3,1
2016-01-15,,,,,,,1,1,3,4,8,4,3,5,12,8,5,1,2,1,2,2,1,1
2016-01-16,,,,,,,,,5,3,9,11,6,13,10,9,,4,1,,,1,1,
2016-01-17,,,,,,,3,,4,2,11,7,12,4,8,6,4,,,,,,2,
2016-01-18,,,,,,,,1,3,3,7,8,1,1,2,2,4,4,3,1,1,1,1,
2016-01-19,0.2,0.2,0.2,0.2,0.2,0.2,1,5,3,2,4,1,1,4,4,5,6,3,2,1,1,1,,2
2016-01-20,0.2,0.2,0.2,0.2,0.2,0.2,,4,3,5,3,8,5,7,5,4,4,4,1,2,,1,,1
2016-01-21,0.2,0.2,0.2,0.2,0.2,0.2,1,6,3,4,5,4,3,7,1,1,8,4,3,,2,1,2,
2016-01-22,,,,,,,1,2,4,4,6,2,3,1,4,4,6,4,1,,1,,2,4
2016-01-23,,,,,,,,1,4,9,7,14,7,12,18,20,9,2,2,1,,1,,1
2016-01-24,0.2,0.2,0.2,0.2,0.2,0.2,3,1,3,7,27,26,13,13,18,23,10,,2,,,,,2
2016-01-25,,,,,,,1,5,9,4,6,4,1,5,4,3,5,5,2,1,1,2,3,
2016-01-26,0.2,0.2,0.2,0.2,0.2,0.2,1,4,2,4,3,3,2,1,1,2,3,4,2,1,2,1,1,1
2016-01-27,,,,,,,1,2,7,4,4,5,1,1,2,1,8,3,1,2,1,2,,1
2016-01-28,,,,,,,,4,6,9,13,4,2,5,5,3,3,13,2,2,1,,2,1
2016-01-29,,,,,,,1,1,1,,1,3,,5,4,8,3,4,1,2,,,,
2016-01-30,,,,,,,,1,2,9,7,8,6,4,6,3,1,3,3,,,1,,
2016-01-31,0.3,0.3,0.3,0.3,0.3,0.3,1,1,3,10,12,9,4,7,4,7,1,1,,,1,1,,
2016-02-01,,,,,,,1,4,4,6,2,2,,2,3,3,3,7,4,,,,,
2016-02-02,0.2,0.2,0.2,0.2,0.2,0.2,1,2,1,2,6,2,3,2,2,3,3,3,1,2,,,,1
2016-02-03,0.2,0.2,0.2,0.2,0.2,0.2,1,4,3,4,5,11,2,7,7,9,8,5,3,1,2,1,,1
2016-02-04,,,,,,,1,5,9,7,8,2,5,6,6,5,10,5,2,,,1,2,1
2016-02-05,0.2,0.2,0.2,0.2,0.2,0.2,,5,4,4,7,4,8,5,3,3,8,3,6,3,,1,2,
2016-02-06,0.2,0.2,0.2,0.2,0.2,0.2,,5,6,6,4,5,,,5,1,1,1,3,,,1,,1
2016-02-07,0.2,0.2,0.2,0.2,0.2,0.2,1,1,6,12,17,18,16,9,17,6,2,,,,1,,,2
2016-02-08,,,,,,,1,2,3,3,1,4,,,3,1,7,4,2,2,2,,,
2016-02-09,0.2,0.2,0.2,0.2,0.2,0.2,2,3,6,6,4,5,3,7,4,6,12,4,1,3,,1,,2
2016-02-10,,,,,,,,4,3,5,12,10,8,11,6,14,9,5,4,1,1,1,,1
2016-02-11,,,,,,,1,2,3,4,6,4,3,6,6,5,9,5,4,4,1,2,,1
2016-02-12,0.2,0.2,0.2,0.2,0.2,0.2,1,2,4,3,7,5,4,8,5,3,4,2,2,1,5,,1,
2016-02-13,0.2,0.2,0.2,0.2,0.2,0.2,,1,2,4,6,15,11,13,7,11,6,3,,2,1,,,2
2016-02-14,,,,,,,1,2,4,12,16,23,19,16,11,8,7,2,2,,2,,,1
2016-02-15,,,,,,,,,,1,3,2,3,4,4,7,6,3,1,1,,,1,
2016-02-16,,,,,,,,1,1,4,2,6,4,6,3,5,9,5,2,1,2,1,3,1
2016-02-17,,,,,,,,1,3,3,1,,2,2,1,2,4,2,1,,,1,,
2016-02-18,,,,,,,,4,3,4,11,13,11,15,12,7,14,4,1,1,,,2,1
2016-02-19,,,,,,,1,5,3,3,9,6,6,3,6,7,7,1,1,1,1,,,
2016-02-20,,,,,,,,1,2,5,8,10,4,5,4,5,1,,2,1,,,,2
2016-02-21,,,,,,,2,1,6,4,9,8,9,6,6,5,2,1,,,1,,,
2016-02-22,0.2,0.2,0.2,0.2,0.2,0.2,1,3,5,8,7,10,5,3,6,3,11,11,3,1,1,2,,
2016-02-23,0.2,0.2,0.2,0.2,0.2,0.2,2,7,4,3,8,7,11,12,9,11,9,6,6,4,3,,1,1
2016-02-24,,,,,,,,5,3,3,2,4,9,3,9,6,6,6,6,2,1,,,1
2016-02-25,,,,,,,1,5,2,10,4,8,2,3,7,4,5,10,1,,2,1,1,1
2016-02-26,,,,,,,1,3,4,7,5,10,4,7,2,6,8,8,2,1,,,,
2016-02-27,0.2,0.2,0.2,0.2,0.2,0.2,,2,6,7,8,7,11,9,19,18,1,10,2,1,,1,,1
2016-02-28,,,,,,,2,1,5,11,30,25,36,23,20,27,11,8,1,,,,,2
2016-02-29,,,,,,,1,4,2,5,7,5,9,6,4,8,11,6,4,3,3,2,,
2016-03-01,,,,,,,1,3,1,4,5,3,1,2,1,7,6,5,4,2,1,,,1
2016-03-02,,,,,,,,2,4,1,,,2,1,2,7,10,5,1,2,,,,1
2016-03-03,,,,,,,,5,5,6,11,6,7,3,6,8,9,4,2,1,2,,2,1
2016-03-04,,,,,,,,3,4,,2,4,,1,,4,1,1,1,3,,,1,
2016-03-05,,,,,,,,1,5,12,9,7,5,12,9,7,2,8,5,2,,1,,
2016-03-06,,,,,,,2,1,8,10,20,19,9,11,14,14,9,4,,1,,1,,
2016-03-07,,,,,,,1,5,5,5,6,5,5,6,11,5,11,9,5,2,,,,
2016-03-08,,,,,,,2,6,3,,3,5,5,1,5,4,8,10,3,2,,1,1,
2016-03-09,,,,,,,,5,1,2,1,,1,1,,1,7,3,2,,,1,1,
2016-03-10,,,,,,,,5,4,5,5,5,3,4,6,3,10,11,1,3,2,1,1,1
2016-03-11,,,,,,,,4,7,4,9,6,6,8,13,10,11,11,3,2,,1,,
2016-03-12,,,,,,,,3,8,7,20,23,19,18,24,20,16,8,5,,,1,1,1
