Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2016-01-01,0.2,0.2,0.2,0.2,0.2,0.2,,,1,,1,2,2,8,5,4,3,,5,2,1,1,,2
2016-01-02,,,,,,,,,,3,2,3,3,2,2,2,3,3,4,2,5,3,1,3
2016-01-03,1.0,1.0,1.0,1.0,1.0,1.0,,,5,1,2,3,4,2,,3,6,8,9,8,6,3,2,3
2016-01-04,0.2,0.2,0.2,0.2,0.2,0.2,1,4,2,11,12,11,13,13,10,22,38,53,19,19,8,6,6,7
2016-01-05,0.7,0.7,0.7,0.7,0.7,0.7,1,3,4,9,13,23,15,12,7,17,37,61,31,23,9,6,1,5
2016-01-06,0.3,0.3,0.3,0.3,0.3,0.3,1,2,5,7,7,12,14,15,12,21,38,52,31,26,12,5,5,2
2016-01-07,1.0,1.0,1.0,1.0,1.0,1.0,,3,4,4,15,12,12,8,12,23,28,42,28,24,6,8,3,5
2016-01-08,0.5,0.5,0.5,0.5,0.5,0.5,1,2,5,11,16,14,12,6,13,21,45,44,21,25,5,5,1,2
2016-01-09,0.5,0.5,0.5,0.5,0.5,0.5,,1,1,3,12,12,4,7,7,10,13,9,5,10,5,2,1,2
2016-01-10,0.8,0.8,0.8,0.8,0.8,0.8,,1,2,2,8,15,4,9,3,11,7,8,10,4,4,3,3,2
2016-01-11,0.3,0.3,0.3,0.3,0.3,0.3,1,3,4,8,15,17,33,21,30,26,55,86,45,21,10,8,6,5
2016-01-12,0.8,0.8,0.8,0.8,0.8,0.8,1,3,6,9,13,25,27,31,21,21,52,96,40,25,16,9,7,5
2016-01-13,0.5,0.5,0.5,0.5,0.5,0.5,1,2,5,9,19,16,50,34,20,26,37,60,38,12,13,8,7,6
2016-01-14,0.5,0.5,0.5,0.5,0.5,0.5,1,2,5,4,11,11,32,20,19,23,57,52,46,12,10,9,7,3
2016-01-15,0.3,0.3,0.3,0.3,0.3,0.3,,3,6,9,6,22,17,23,19,24,42,76,33,11,9,4,5,5
2016-01-16,0.2,0.2,0.2,0.2,0.2,0.2,,1,,7,2,6,5,3,3,6,8,6,7,6,4,3,2,2
2016-01-17,1.2,1.2,1.2,1.2,1.2,1.2,,,1,1,3,14,6,6,7,11,8,8,15,12,2,5,3,3
2016-01-18,0.8,0.8,0.8,0.8,0.8,0.8,2,2,4,8,17,16,32,28,26,17,51,88,64,22,20,10,11,3
2016-01-19,0.2,0.2,0.2,0.2,0.2,0.2,2,3,4,7,16,12,29,25,30,32,55,71,43,23,14,12,13,1
2016-01-20,1.7,1.7,1.7,1.7,1.7,1.7,,2,5,7,8,21,44,28,23,21,45,54,42,19,17,6,1,7
2016-01-21,0.8,0.8,0.8,0.8,0.8,0.8,,5,3,5,14,7,21,16,17,33,58,62,52,15,16,11,8,5
2016-01-22,0.3,0.3,0.3,0.3,0.3,0.3,2,4,12,13,10,12,27,17,23,30,56,56,33,11,16,9,12,7
2016-01-23,1.0,1.0,1.0,1.0,1.0,1.0,,1,1,4,6,6,10,8,15,2,8,9,6,6,11,3,3,5
2016-01-24,0.7,0.7,0.7,0.7,0.7,0.7,,,1,,6,7,7,9,13,10,13,6,12,7,4,3,4,5
2016-01-25,0.5,0.5,0.5,0.5,0.5,0.5,,2,8,10,20,11,35,14,26,37,56,62,71,24,14,13,7,12
2016-01-26,0.7,0.7,0.7,0.7,0.7,0.7,1,3,6,12,11,23,19,25,23,33,60,84,41,22,22,10,10,8
2016-01-27,1.7,1.7,1.7,1.7,1.7,1.7,2,2,5,6,13,22,32,36,14,29,47,62,25,24,17,4,7,8
2016-01-28,1.3,1.3,1.3,1.3,1.3,1.3,,4,5,9,13,19,29,32,15,32,51,56,47,18,11,7,17,8
2016-01-29,1.5,1.5,1.5,1.5,1.5,1.5,,2,7,7,12,12,25,27,26,36,52,58,27,10,7,12,11,7
2016-01-30,0.8,0.8,0.8,0.8,0.8,0.8,,1,,7,5,5,4,5,4,9,7,9,6,4,5,3,8,4
2016-01-31,0.7,0.7,0.7,0.7,0.7,0.7,,,,1,1,7,4,5,7,5,7,4,7,3,9,1,1,4
2016-02-01,0.5,0.5,0.5,0.5,0.5,0.5,1,2,4,5,15,19,18,21,21,23,46,74,61,9,9,13,15,3
2016-02-02,1.0,1.0,1.0,1.0,1.0,1.0,2,3,12,5,12,7,23,28,18,22,48,78,45,20,11,6,9,4
2016-02-03,1.7,1.7,1.7,1.7,1.7,1.7,1,5,7,9,9,12,24,22,12,20,49,53,35,20,13,2,9,10
2016-02-04,0.5,0.5,0.5,0.5,0.5,0.5,1,2,8,8,13,5,20,20,29,22,69,64,54,13,14,10,7,7
2016-02-05,1.0,1.0,1.0,1.0,1.0,1.0,1,2,11,6,9,16,29,32,22,22,54,66,35,14,7,4,7,9
2016-02-06,0.8,0.8,0.8,0.8,0.8,0.8,2,,,1,5,5,6,4,3,3,8,6,4,4,6,1,3,1
2016-02-07,0.8,0.8,0.8,0.8,0.8,0.8,1,,1,,8,9,4,5,16,1,7,2,10,7,6,5,3,3
