Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2009-04-01,1.5,1.5,1.5,1.5,1.5,1.5,13,41,62,20,14,11,6,9,6,6,14,18,16,2,3,2,1,
2009-04-02,1.7,1.7,1.7,1.7,1.7,1.7,21,40,63,28,16,7,3,8,13,10,9,14,6,5,3,3,3,
2009-04-03,1.7,1.7,1.7,1.7,1.7,1.7,12,24,50,22,8,10,9,6,6,12,11,10,9,4,6,5,1,1
2009-04-04,2.3,2.3,2.3,2.3,2.3,2.3,5,10,10,8,5,13,6,8,3,6,5,1,5,8,5,4,,
2009-04-05,0.3,0.3,0.3,0.3,0.3,0.3,,5,7,12,8,4,5,3,6,3,6,2,3,6,5,2,,
2009-04-06,1.3,1.3,1.3,1.3,1.3,1.3,17,34,38,15,7,9,8,9,10,11,18,19,2,3,3,1,1,
2009-04-07,1.3,1.3,1.3,1.3,1.3,1.3,13,36,48,12,11,4,6,11,6,10,7,17,7,9,5,2,,1
2009-04-08,1.2,1.2,1.2,1.2,1.2,1.2,15,22,32,18,5,6,3,8,7,4,5,15,8,2,3,1,,
2009-04-09,1.2,1.2,1.2,1.2,1.2,1.2,15,26,36,12,9,9,9,5,10,10,8,7,5,5,4,5,2,1
2009-04-10,1.0,1.0,1.0,1.0,1.0,1.0,5,4,6,11,10,10,8,4,1,6,6,3,2,6,1,3,,
2009-04-11,0.5,0.5,0.5,0.5,0.5,0.5,5,14,11,6,13,3,7,5,4,7,7,2,5,2,3,2,,
2009-04-12,0.2,0.2,0.2,0.2,0.2,0.2,2,5,6,3,7,,2,3,3,5,3,5,8,6,4,,,
2009-04-13,0.7,0.7,0.7,0.7,0.7,0.7,4,10,4,3,10,3,1,4,2,4,3,5,5,5,7,3,,
2009-04-14,1.5,1.5,1.5,1.5,1.5,1.5,11,33,35,16,10,10,5,12,6,8,8,18,8,6,6,2,2,1
2009-04-15,1.7,1.7,1.7,1.7,1.7,1.7,14,37,38,17,9,4,9,10,5,8,13,11,10,3,4,4,3,2
2009-04-16,1.5,1.5,1.5,1.5,1.5,1.5,23,36,49,13,10,10,8,8,6,2,10,12,6,4,2,3,2,2
2009-04-17,1.7,1.7,1.7,1.7,1.7,1.7,15,28,59,11,14,9,8,8,7,11,5,16,6,6,7,3,2,1
2009-04-18,1.7,1.7,1.7,1.7,1.7,1.7,5,14,12,15,7,6,5,16,3,3,4,3,3,,2,1,1,1
2009-04-19,0.3,0.3,0.3,0.3,0.3,0.3,4,7,7,6,6,7,7,9,8,9,9,8,8,3,3,1,1,
2009-04-20,1.0,1.0,1.0,1.0,1.0,1.0,16,43,50,23,11,9,8,11,8,9,13,21,14,7,4,1,2,
2009-04-21,1.2,1.2,1.2,1.2,1.2,1.2,12,41,51,18,7,8,4,9,8,4,13,18,5,14,5,2,1,
2009-04-22,1.0,1.0,1.0,1.0,1.0,1.0,19,29,48,26,1,,,,,11,21,17,13,8,4,3,,1
2009-04-23,0.8,0.8,0.8,0.8,0.8,0.8,22,43,47,21,10,6,9,9,13,13,13,22,9,10,5,5,2,
2009-04-24,1.3,1.3,1.3,1.3,1.3,1.3,17,36,45,21,11,9,3,10,7,6,8,15,10,6,8,2,2,2
2009-04-25,1.8,1.8,1.8,1.8,1.8,1.8,5,9,12,5,12,12,7,10,9,10,11,3,1,5,3,2,,
2009-04-26,0.3,0.3,0.3,0.3,0.3,0.3,2,5,6,5,12,7,3,6,8,7,3,4,7,4,5,3,4,1
2009-04-27,1.0,1.0,1.0,1.0,1.0,1.0,14,32,50,16,10,9,3,4,8,4,12,7,15,11,,2,2,1
2009-04-28,1.2,1.2,1.2,1.2,1.2,1.2,16,16,64,18,8,5,8,5,6,9,14,21,,8,1,3,1,
2009-04-29,1.8,1.8,1.8,1.8,1.8,1.8,20,25,65,20,11,8,6,7,11,7,10,1,11,10,4,3,,
2009-04-30,1.8,1.8,1.8,1.8,1.8,1.8,15,29,56,7,5,4,6,8,6,9,7,12,8,5,7,5,3,
2009-05-01,1.5,1.5,1.5,1.5,1.5,1.5,18,30,52,21,15,9,2,10,12,9,5,3,6,3,11,2,3,
2009-05-02,1.2,1.2,1.2,1.2,1.2,1.2,6,11,11,11,3,7,8,4,5,5,4,3,2,4,5,1,3,
2009-05-03,0.2,0.2,0.2,0.2,0.2,0.2,2,3,8,13,7,2,9,8,3,6,3,3,4,6,2,1,1,
2009-05-04,0.7,0.7,0.7,0.7,0.7,0.7,3,6,5,8,5,6,3,3,2,,3,5,,5,2,1,1,
2009-05-05,1.3,1.3,1.3,1.3,1.3,1.3,16,38,61,24,7,12,8,,6,6,11,9,7,2,4,2,4,
2009-05-06,1.8,1.8,1.8,1.8,1.8,1.8,13,35,58,24,13,8,11,5,8,7,12,13,15,5,3,2,3,1
2009-05-07,2.0,2.0,2.0,2.0,2.0,2.0,20,32,45,24,10,8,9,6,4,8,21,17,1,7,2,2,5,2
2009-05-08,1.8,1.8,1.8,1.8,1.8,1.8,13,31,52,21,8,8,8,5,6,6,7,22,11,5,3,2,5,
2009-05-09,1.2,1.2,1.2,1.2,1.2,1.2,3,6,13,9,7,8,1,9,12,6,3,2,2,5,3,4,2,
2009-05-10,0.2,0.2,0.2,0.2,0.2,0.2,1,4,7,8,9,2,5,6,3,4,4,6,4,7,3,3,,
2009-05-11,1.7,1.7,1.7,1.7,1.7,1.7,19,46,61,30,6,10,4,9,5,8,16,14,8,10,3,1,2,
2009-05-12,1.0,1.0,1.0,1.0,1.0,1.0,12,37,54,16,5,5,8,15,9,9,17,25,10,5,2,1,,
2009-05-13,1.3,1.3,1.3,1.3,1.3,1.3,17,42,60,26,7,10,9,4,4,4,18,14,10,7,1,1,2,
2009-05-14,1.3,1.3,1.3,1.3,1.3,1.3,15,37,71,18,5,11,11,3,4,8,16,9,13,8,5,5,3,
2009-05-15,1.3,1.3,1.3,1.3,1.3,1.3,15,36,44,16,7,5,3,10,8,8,11,17,5,6,5,1,2,
2009-05-16,1.7,1.7,1.7,1.7,1.7,1.7,2,8,11,4,2,7,9,8,6,3,6,4,5,2,2,3,1,
2009-05-17,0.2,0.2,0.2,0.2,0.2,0.2,,6,8,6,9,8,7,5,2,1,8,5,3,8,3,4,1,
2009-05-18,0.8,0.8,0.8,0.8,0.8,0.8,17,36,54,14,4,8,6,9,6,7,16,13,10,6,1,2,,
2009-05-19,0.7,0.7,0.7,0.7,0.7,0.7,15,42,54,15,8,9,8,6,9,10,14,3,6,11,5,,1,
2009-05-20,0.7,0.7,0.7,0.7,0.7,0.7,17,32,54,23,8,12,9,5,8,4,9,2,6,6,2,,1,
2009-05-21,1.0,1.0,1.0,1.0,1.0,1.0,19,40,65,16,4,9,6,11,9,10,15,25,9,8,10,5,4,
2009-05-22,0.8,0.8,0.8,0.8,0.8,0.8,21,37,40,15,6,9,11,10,11,8,6,9,7,5,5,,3,1
2009-05-23,1.3,1.3,1.3,1.3,1.3,1.3,3,11,9,9,8,8,7,9,,6,4,7,10,3,7,1,,1
2009-05-24,0.7,0.7,0.7,0.7,0.7,0.7,2,6,9,6,13,6,6,3,6,7,4,5,6,6,5,2,,
2009-05-25,0.3,0.3,0.3,0.3,0.3,0.3,4,7,5,8,4,7,6,7,13,4,5,3,8,8,1,2,,1
2009-05-26,2.0,2.0,2.0,2.0,2.0,2.0,13,36,53,16,6,9,9,4,6,4,12,8,6,2,7,1,1,
2009-05-27,1.2,1.2,1.2,1.2,1.2,1.2,14,28,33,11,1,,1,7,1,2,11,3,16,7,1,4,5,
2009-05-28,1.0,1.0,1.0,1.0,1.0,1.0,16,35,46,14,8,3,7,10,8,8,10,3,7,10,6,3,6,
2009-05-29,1.5,1.5,1.5,1.5,1.5,1.5,15,39,35,14,15,17,5,6,5,8,16,12,15,10,4,2,3,
2009-05-30,1.7,1.7,1.7,1.7,1.7,1.7,3,10,7,18,9,4,10,7,4,3,5,5,6,3,7,1,2,
2009-05-31,0.2,0.2,0.2,0.2,0.2,0.2,2,5,10,8,7,5,7,3,10,6,9,9,8,9,5,3,4,1
2009-06-01,1.2,1.2,1.2,1.2,1.2,1.2,19,19,83,19,12,15,5,14,7,7,13,16,16,9,6,5,4,
2009-06-02,1.5,1.5,1.5,1.5,1.5,1.5,24,49,81,17,11,11,14,11,8,9,11,17,7,10,4,1,,
2009-06-03,1.0,1.0,1.0,1.0,1.0,1.0,18,51,70,23,11,16,5,11,8,3,12,2,14,10,1,3,2,
2009-06-04,1.3,1.3,1.3,1.3,1.3,1.3,19,53,65,24,8,10,8,11,11,10,15,2,8,10,3,4,1,1
