Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2009-08-10,,,,,,,,,,,,,,,,,,23,22,18,11,12,3,1
2009-08-11,0.7,0.7,0.7,0.7,0.7,0.7,7,22,23,19,5,15,17,18,11,12,38,45,7,12,11,3,4,1
2009-08-12,0.2,0.2,0.2,0.2,0.2,0.2,5,26,25,13,13,19,13,14,11,14,52,49,20,9,12,6,2,
2009-08-13,0.5,0.5,0.5,0.5,0.5,0.5,7,22,26,21,14,10,18,13,13,26,47,54,19,17,11,5,4,1
2009-08-14,1.2,1.2,1.2,1.2,1.2,1.2,7,16,26,15,11,10,12,10,19,15,45,40,20,7,6,,3,2
2009-08-15,0.7,0.7,0.7,0.7,0.7,0.7,4,5,6,9,8,10,13,4,15,11,10,16,8,6,2,2,4,2
2009-08-16,0.3,0.3,0.3,0.3,0.3,0.3,2,8,2,1,14,17,9,11,9,16,16,5,11,10,4,1,3,1
2009-08-17,0.7,0.7,0.7,0.7,0.7,0.7,8,18,22,15,16,14,15,14,16,24,43,42,19,14,15,5,4,
2009-08-18,0.5,0.5,0.5,0.5,0.5,0.5,6,18,32,18,10,16,15,18,13,17,44,63,26,22,14,3,7,
2009-08-19,1.3,1.3,1.3,1.3,1.3,1.3,8,20,25,17,10,11,18,23,8,17,37,46,15,12,9,4,6,1
2009-08-20,1.3,1.3,1.3,1.3,1.3,1.3,4,21,26,13,9,8,12,14,7,13,39,43,27,13,7,3,3,4
2009-08-21,0.3,0.3,0.3,0.3,0.3,0.3,7,20,23,13,11,14,16,26,10,20,30,38,14,15,10,1,1,3
2009-08-22,0.8,0.8,0.8,0.8,0.8,0.8,4,8,1,5,8,22,15,16,15,13,13,16,9,8,14,1,,3
2009-08-23,0.2,0.2,0.2,0.2,0.2,0.2,1,6,4,7,7,8,14,8,12,16,16,11,10,14,2,4,2,1
2009-08-24,0.7,0.7,0.7,0.7,0.7,0.7,8,25,25,11,8,13,9,16,17,14,38,37,11,6,11,1,1,2
2009-08-25,0.3,0.3,0.3,0.3,0.3,0.3,13,25,26,17,9,15,12,13,14,30,38,39,21,12,9,8,3,
2009-08-26,0.3,0.3,0.3,0.3,0.3,0.3,8,16,18,14,7,7,13,9,8,9,28,48,18,9,4,5,3,2
2009-08-27,0.3,0.3,0.3,0.3,0.3,0.3,8,29,25,23,17,13,15,10,17,15,41,58,20,12,4,4,6,7
2009-08-28,0.3,0.3,0.3,0.3,0.3,0.3,9,14,22,11,7,9,16,15,14,17,37,32,15,12,15,,3,
2009-08-29,0.5,0.5,0.5,0.5,0.5,0.5,4,7,7,8,9,12,16,6,13,9,11,8,10,12,3,3,1,
2009-08-30,,,,,,,3,6,2,3,9,8,8,7,15,12,5,8,8,5,3,7,4,1
2009-08-31,1.3,1.3,1.3,1.3,1.3,1.3,4,11,4,3,12,19,10,16,10,24,14,8,11,8,4,3,1,4
2009-09-01,0.5,0.5,0.5,0.5,0.5,0.5,10,23,34,16,9,14,16,17,21,16,36,41,15,15,12,2,1,2
2009-09-02,0.3,0.3,0.3,0.3,0.3,0.3,8,25,31,18,19,8,19,14,10,12,35,23,20,9,1,1,,
2009-09-03,0.5,0.5,0.5,0.5,0.5,0.5,7,25,26,15,8,5,10,11,10,23,29,35,14,7,1,7,6,1
2009-09-04,0.2,0.2,0.2,0.2,0.2,0.2,11,22,20,11,6,7,11,16,14,14,28,32,19,13,5,1,2,3
2009-09-05,0.5,0.5,0.5,0.5,0.5,0.5,5,9,5,5,6,10,6,12,5,7,9,7,2,7,3,1,,2
2009-09-06,0.2,0.2,0.2,0.2,0.2,0.2,1,7,2,4,4,12,8,8,13,17,8,10,13,3,3,,2,1
2009-09-07,0.7,0.7,0.7,0.7,0.7,0.7,3,22,26,14,5,11,12,13,14,14,35,35,30,8,9,4,2,2
2009-09-08,0.2,0.2,0.2,0.2,0.2,0.2,8,24,18,6,12,4,5,7,3,12,31,36,29,10,1,4,1,3
2009-09-09,0.3,0.3,0.3,0.3,0.3,0.3,5,23,22,15,10,9,13,11,13,13,31,46,16,13,8,3,1,4
2009-09-10,0.3,0.3,0.3,0.3,0.3,0.3,12,23,19,8,6,8,9,15,7,10,29,36,18,5,3,6,3,1
2009-09-11,,,,,,,5,23,23,10,10,11,6,13,11,14,37,42,20,10,7,7,1,2
2009-09-12,0.8,0.8,0.8,0.8,0.8,0.8,4,9,4,5,5,20,10,15,15,7,9,8,8,10,5,2,2,
2009-09-13,0.7,0.7,0.7,0.7,0.7,0.7,3,8,3,1,10,10,13,7,9,15,10,8,7,7,2,,3,
2009-09-14,1.0,1.0,1.0,1.0,1.0,1.0,7,28,26,11,8,11,15,19,12,17,32,39,26,17,11,8,8,
2009-09-15,0.7,0.7,0.7,0.7,0.7,0.7,7,27,24,7,8,9,17,14,17,21,28,35,18,4,3,9,1,1
2009-09-16,0.5,0.5,0.5,0.5,0.5,0.5,7,21,20,8,8,5,9,8,13,14,26,36,13,10,6,2,4,
2009-09-17,0.3,0.3,0.3,0.3,0.3,0.3,12,23,19,8,6,8,9,15,7,10,29,36,18,5,3,6,3,1
2009-09-18,0.3,0.3,0.3,0.3,0.3,0.3,7,28,20,6,10,12,23,11,9,30,32,31,15,5,4,7,2,
2009-09-19,1.2,1.2,1.2,1.2,1.2,1.2,1,9,8,7,5,8,13,9,11,13,12,12,7,3,4,5,6,2
2009-09-20,,,,,,,1,5,1,5,4,13,11,13,14,9,3,9,8,6,6,1,1,4
2009-09-21,0.3,0.3,0.3,0.3,0.3,0.3,9,23,26,12,9,10,16,12,17,18,43,47,24,5,7,4,4,1
2009-09-22,0.8,0.8,0.8,0.8,0.8,0.8,7,22,29,15,8,1,1,6,15,18,20,30,16,7,7,2,3,1
