Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2004-07-22,,,,,,,,,8,3,1,,,4,1,2,,1,1,,,1,,
2004-07-23,,,,,,,,1,7,3,1,1,3,2,5,,1,,,2,2,,,
2004-07-24,,,,,,,1,,5,1,,,1,1,,1,,,,1,,,,
2004-07-25,,,,,,,,,1,,,1,2,,,2,1,2,,,,,,
2004-07-26,,,,,,,2,1,10,4,,,2,1,,3,1,1,2,,,,,
2004-07-27,,,,,,,1,3,8,4,,3,5,1,1,1,2,,,2,,,,
2004-07-28,,,,,,,,1,4,1,1,1,2,1,2,,,3,,2,,,,
2004-07-29,,,,,,,,1,10,2,,1,1,,1,,2,2,,,,,,
2004-07-30,,,,,,,,1,7,3,,,5,3,1,,,2,1,2,1,,,
2004-07-31,,,,,,,,,3,,,2,1,1,,1,,,,,2,,,1
2004-08-01,,,,,,,,,1,1,2,1,,3,2,2,3,1,2,,,,1,
2004-08-02,,,,,,,,1,7,1,,1,1,,,2,1,1,2,1,,,,
2004-08-03,,,,,,,,1,7,2,2,,,,,,,,,1,,,,
2004-08-04,,,,,,,,1,6,5,,2,,,1,1,,,1,1,,,,
2004-08-05,,,,,,,,1,9,4,,1,2,1,,2,1,2,3,1,,2,,
2004-08-06,,,,,,,,1,6,2,,2,,2,1,1,,,,3,,,4,
2004-08-07,,,,,,,,,1,1,,,,1,,2,3,,,1,,1,,
2004-08-08,,,,,,,,,,1,2,1,,,1,2,,,,,,,1,
2004-08-09,,,,,,,,3,4,3,,,1,,,,,,1,1,,,,
2004-08-10,,,,,,,,1,4,2,,,1,1,1,,,,,,,,,
2004-08-11,,,,,,,1,1,6,4,,1,2,,1,2,,1,2,3,4,,,
2004-08-12,,,,,,,,2,4,2,,,2,,1,,,,1,,2,,,
2004-08-13,,,,,,,1,1,5,3,,,1,,1,,1,,,1,,,,
2004-08-14,,,,,,,1,,3,3,1,,4,2,2,1,1,,1,2,,,1,
2004-08-15,,,,,,,,,1,1,,1,4,,,,1,1,,5,2,3,1,
2004-08-16,,,,,,,,2,8,5,,,,,,,3,1,2,,5,,,
2004-08-17,,,,,,,,1,10,3,1,,1,2,,1,2,1,2,2,,,,
2004-08-18,,,,,,,,1,6,2,1,,,,3,,3,2,,,,2,,
2004-08-19,,,,,,,,2,9,5,1,,,,1,3,1,2,3,,,,,
2004-08-20,,,,,,,,2,4,1,1,,,,1,1,,,,,,,,
2004-08-21,,,,,,,1,,1,1,,,1,2,1,1,,,,,,,,
2004-08-22,,,,,,,,,,1,,1,2,,1,3,1,,1,1,,2,,
2004-08-23,,,,,,,,1,1,4,,,1,,,,,,1,,,,,
2004-08-24,0.2,0.2,0.2,0.2,0.2,0.2,1,2,4,5,,1,3,3,,,,,,2,,,,
2004-08-25,,,,,,,1,4,3,3,1,,1,1,4,,3,1,3,,,,,
2004-08-26,,,,,,,,3,7,3,,,3,1,1,,,3,,1,,,,
2004-08-27,,,,,,,,,2,3,,,1,1,1,,,,,1,,,,
2004-08-28,,,,,,,,,1,2,2,1,,1,2,,,2,,1,,,,
2004-08-29,,,,,,,,,,2,,,,2,1,,,,2,,,,,
2004-08-30,,,,,,,,,,1,,2,,1,,,1,1,,2,,,,1
2004-08-31,0.2,0.2,0.2,0.2,0.2,0.2,,3,5,4,1,1,2,1,,1,,1,,,,,1,
2004-09-01,,,,,,,,2,5,3,,,2,,3,1,2,1,,,2,,,
2004-09-02,,,,,,,,2,11,3,,1,1,,,3,1,,1,1,,,,
2004-09-03,,,,,,,,2,8,2,1,1,1,1,,2,6,1,4,1,,,,
2004-09-04,,,,,,,1,,1,3,,1,,1,1,,1,1,,,1,,1,
2004-09-05,,,,,,,,1,,1,,2,3,1,1,,1,,3,3,,1,,
2004-09-06,,,,,,,,1,8,1,1,,2,,,4,,,,2,,,,
2004-09-07,,,,,,,,1,8,3,,2,,1,,1,,1,3,,,,,
2004-09-08,,,,,,,,2,7,4,,,,3,1,1,3,2,1,1,,,,
2004-09-09,,,,,,,,2,8,5,1,,,,,4,1,,3,1,,,,
2004-09-10,,,,,,,,3,4,4,1,1,,,,6,,1,1,,,,,
2004-09-11,,,,,,,,,1,,2,1,,1,1,1,,,,,,,,
2004-09-12,,,,,,,1,,,2,5,1,,3,1,,1,1,,,,,,
2004-09-13,,,,,,,,1,7,1,1,,,1,,1,,,2,2,,,,
2004-09-14,,,,,,,,,8,2,,,,1,,3,,1,,,,,,
2004-09-15,,,,,,,2,,7,,,,,1,,1,3,,1,,1,1,,
2004-09-16,,,,,,,,,9,,2,,,1,,,,,1,2,,,,
2004-09-17,,,,,,,,1,5,3,1,,,4,1,,2,,1,,,7,1,
2004-09-18,0.5,0.5,0.5,0.5,0.5,0.5,,,1,2,1,1,1,2,1,1,6,,,,,,,
2004-09-19,,,,,,,,,,1,4,,,1,5,2,1,1,4,,,,,
2004-09-20,,,,,,,,,12,2,,,2,1,,2,,,1,3,,,,
2004-09-21,,,,,,,,2,4,1,,,2,2,,,1,1,,1,,,,
2004-09-22,,,,,,,,,8,1,,,1,1,1,,1,2,,,,,,
2004-09-23,,,,,,,1,,11,,,1,1,2,,,1,,,3,,,,
2004-09-24,,,,,,,,,10,3,,1,2,2,,,,2,,,,,,
2004-09-25,,,,,,,,,2,,,1,,1,2,3,,2,,,,,,
2004-09-26,,,,,,,,,,2,,1,,,,2,,,1,2,,1,,
2004-09-27,,,,,,,,,6,1,,2,,,,,2,,,,,,,
2004-09-28,,,,,,,,2,8,3,,,,2,1,1,1,2,,,,,,
2004-09-29,,,,,,,,,7,1,2,,,1,2,1,1,1,2,2,,1,,
2004-09-30,,,,,,,1,1,6,3,,,,1,,,1,,2,6,,,,
2004-10-01,,,,,,,1,1,8,4,1,1,1,3,,,1,,2,1,,,,
2004-10-02,,,,,,,,,,,,,,1,,1,1,,,,1,,,
2004-10-03,,,,,,,,,,1,5,1,,,1,1,,,,,,,,
2004-10-04,,,,,,,,,8,3,,,2,,,,1,,,,1,,,
2004-10-05,,,,,,,,2,11,3,,,,2,1,,,1,,1,,,,
2004-10-06,,,,,,,,,8,1,,,,2,2,,3,1,,2,,,,
2004-10-07,,,,,,,,2,11,4,1,,1,1,1,,,2,3,,,,,
2004-10-08,,,,,,,,1,9,4,1,,1,2,1,1,1,,1,,,,1,
2004-10-09,,,,,,,,,1,1,1,1,3,3,1,,2,4,,,,,,
2004-10-10,,,,,,,,,,2,4,,,1,,4,,,5,,,,,
2004-10-11,,,,,,,1,2,8,5,2,,,1,2,2,1,1,,,,,,
2004-10-12,,,,,,,,,12,3,,,,3,1,3,,1,,2,,,,
2004-10-13,,,,,,,,2,12,3,,,,1,2,,,,,,,,,
2004-10-14,,,,,,,,,8,2,,1,,3,1,,,,1,1,,,,
2004-10-15,,,,,,,1,,11,3,1,,,1,,,,,,,,,1,
2004-10-16,,,,,,,,,,2,1,,3,2,1,2,3,,,1,,,,
2004-10-17,,,,,,,,1,,4,,1,1,,,,2,1,,,,,,
2004-10-18,,,,,,,,,14,3,,,1,,2,3,2,1,1,,,,,
2004-10-19,,,,,,,,3,8,4,,2,2,2,3,2,1,1,1,,,,,
2004-10-20,,,,,,,,1,7,1,,1,1,1,,,,1,2,,,,,
2004-10-21,,,,,,,,1,8,3,,,1,,1,,,,,,,,,
2004-10-22,,,,,,,,1,11,3,1,,1,3,,,,,1,,,,,
2004-10-23,,,,,,,,,1,,2,1,1,1,1,,,,1,,,,,
2004-10-24,,,,,,,,,,1,2,3,3,1,2,1,1,1,1,,,,1,
2004-10-25,,,,,,,,1,7,2,,,,1,3,,1,1,,1,,,,1
2004-10-26,,,,,,,,2,5,5,,4,2,3,,,1,,,,1,,,
2004-10-27,,,,,,,,2,5,3,1,1,,4,2,2,1,,,,,,1,
2004-10-28,,,,,,,,,6,2,,1,1,1,1,1,1,,1,,,,,
2004-10-29,,,,,,,,,6,4,,,,3,,1,,,,1,,,,
2004-10-30,,,,,,,,1,1,1,,,,2,1,,1,1,,,,,,
2004-10-31,,,,,,,,,,,3,,,,,2,1,1,,,,,1,
2004-11-01,,,,,,,,,7,3,,,1,1,2,2,,2,,,,,,
2004-11-02,,,,,,,,,7,2,,,1,2,1,1,1,,,,,,,
2004-11-03,,,,,,,1,2,6,3,,,1,3,,1,,,1,,,,,
2004-11-04,,,,,,,1,1,8,2,1,1,2,1,1,1,,,1,,,,,
2004-11-05,,,,,,,1,,11,4,2,,1,1,1,4,,,1,,,,,
2004-11-06,,,,,,,,,1,1,,,1,,2,3,1,1,,,,,,
2004-11-07,,,,,,,,,1,1,1,1,,,1,,,1,1,1,,,2,
2004-11-08,,,,,,,,,12,3,,,,,2,1,,,,1,1,,,
2004-11-09,,,,,,,,,12,2,1,,,2,1,2,,,,,,,,
2004-11-10,,,,,,,,3,7,3,,,,1,1,1,,,,,,,,
2004-11-11,,,,,,,,1,8,4,1,,,2,1,1,,,1,1,,,,
2004-11-12,,,,,,,,1,7,2,1,1,,2,,2,,,,,,,,
2004-11-13,,,,,,,,1,,,1,,,2,2,1,,,,,,,,
2004-11-14,,,,,,,,,,3,3,2,1,4,1,4,,,,,,,1,
2004-11-15,,,,,,,,,9,1,1,,2,,1,1,,1,1,1,,,,
2004-11-16,,,,,,,,,10,5,,,1,1,1,1,,,,,1,,,
2004-11-17,,,,,,,,,6,3,,,3,2,,,,,1,1,,,,
2004-11-18,,,,,,,,,6,6,,,2,1,,1,,,,,,1,1,
2004-11-19,1.3,1.3,1.3,1.3,1.3,1.3,,,1,3,,,1,3,1,,,1,,,,,,
2004-11-20,,,,,,,,1,1,,1,1,2,1,,,,,1,1,,,1,1
2004-11-21,0.2,0.2,0.2,0.2,0.2,0.2,,2,,2,3,,1,,1,,1,,1,,,1,,1
2004-11-22,0.7,0.7,0.7,0.7,0.7,0.7,1,2,,,2,,,,,,,,,,,,,1
2004-11-23,1.0,1.0,1.0,1.0,1.0,1.0,,,2,1,,1,1,,,,2,,,,1,1,,
2004-11-24,1.0,1.0,1.0,1.0,1.0,1.0,1,2,2,1,,1,1,1,1,1,,,,,,,1,
2004-11-25,0.5,0.5,0.5,0.5,0.5,0.5,1,,2,,1,,1,,1,1,,1,1,,,1,1,2
2004-11-26,0.8,0.8,0.8,0.8,0.8,0.8,1,,1,,1,,,1,,1,,1,,,1,,,1
2004-11-27,0.7,0.7,0.7,0.7,0.7,0.7,1,,,1,,1,,,3,2,1,1,2,,1,,3,
2004-11-28,0.2,0.2,0.2,0.2,0.2,0.2,,1,1,,,1,,2,1,,,,1,3,3,,2,1
2004-11-29,0.8,0.8,0.8,0.8,0.8,0.8,1,,1,1,1,,,2,,1,1,1,2,,1,2,1,2
2004-11-30,0.7,0.7,0.7,0.7,0.7,0.7,2,2,,,,,1,,,1,,1,2,,,1,1,
2004-12-01,0.3,0.3,0.3,0.3,0.3,0.3,1,1,2,1,,,2,,,,1,2,,,1,,,
2004-12-02,0.3,0.3,0.3,0.3,0.3,0.3,,,,,,1,,1,2,,,,1,,1,1,1,
2004-12-03,1.0,1.0,1.0,1.0,1.0,1.0,1,,,1,,2,,1,2,2,,,,,,,,
2004-12-04,,,,,,,1,2,,1,,,,1,2,,,,,1,1,,1,
2004-12-05,0.3,0.3,0.3,0.3,0.3,0.3,1,,1,,1,,1,,,,,1,3,1,2,1,,1
2004-12-06,0.7,0.7,0.7,0.7,0.7,0.7,,1,,,,,1,2,,1,,2,1,1,1,1,,1
2004-12-07,1.0,1.0,1.0,1.0,1.0,1.0,,1,,2,,,,,3,1,1,,,,1,1,,3
2004-12-08,0.2,0.2,0.2,0.2,0.2,0.2,,2,,,1,,,2,,1,,1,,,1,1,1,
2004-12-09,0.7,0.7,0.7,0.7,0.7,0.7,1,,1,,,,,1,1,,,1,1,1,1,,,
2004-12-10,0.8,0.8,0.8,0.8,0.8,0.8,1,2,1,,1,,3,,,,,,,,,2,,
2004-12-11,0.2,0.2,0.2,0.2,0.2,0.2,,3,2,,,1,1,2,,1,2,2,,,2,1,1,
2004-12-12,0.8,0.8,0.8,0.8,0.8,0.8,1,,2,,1,,,1,2,1,1,1,1,1,1,2,,1
2004-12-13,1.2,1.2,1.2,1.2,1.2,1.2,2,,1,,,1,2,,1,,,,,2,1,3,1,
2004-12-14,0.5,0.5,0.5,0.5,0.5,0.5,,,,3,,,,2,,,,2,2,1,2,1,,
2004-12-15,1.0,1.0,1.0,1.0,1.0,1.0,1,,1,1,,,,2,1,,1,,1,1,,,,2
2004-12-16,1.8,1.8,1.8,1.8,1.8,1.8,,1,,1,,2,,1,1,,1,,2,,,,,
2004-12-17,0.5,0.5,0.5,0.5,0.5,0.5,,,1,,,1,,,,1,,1,2,,,1,1,1
2004-12-18,0.7,0.7,0.7,0.7,0.7,0.7,,1,,1,1,1,,2,,2,1,1,,1,2,,,
2004-12-19,0.5,0.5,0.5,0.5,0.5,0.5,1,,,,2,,1,1,1,,1,3,1,2,,,1,2
2004-12-21,0.2,0.2,0.2,0.2,0.2,0.2,,1,2,,,,2,,,1,,1,1,,,1,1,1
2004-12-22,0.8,0.8,0.8,0.8,0.8,0.8,1,2,1,1,,1,1,1,,,,,1,1,,1,3,
2004-12-23,1.3,1.3,1.3,1.3,1.3,1.3,,,,2,1,,1,,1,1,1,,1,1,,1,1,1
2004-12-24,0.7,0.7,0.7,0.7,0.7,0.7,,,1,,,,,1,1,1,,1,1,,3,,,1
2004-12-25,1.2,1.2,1.2,1.2,1.2,1.2,,1,1,1,,,,,,,,1,,,,1,1,1
2004-12-26,0.7,0.7,0.7,0.7,0.7,0.7,1,2,1,1,,,,,,1,1,,,,,2,1,1
2004-12-27,1.2,1.2,1.2,1.2,1.2,1.2,,1,2,,,1,1,,1,,,1,2,,1,,1,
2004-12-28,0.8,0.8,0.8,0.8,0.8,0.8,,1,,1,,,1,2,1,,1,,,,1,,,
2004-12-29,0.5,0.5,0.5,0.5,0.5,0.5,1,2,1,,1,2,,,,,,,1,1,1,1,1,1
2004-12-30,0.7,0.7,0.7,0.7,0.7,0.7,1,1,,1,,1,1,1,,,,,,1,,,,3
2004-12-31,0.5,0.5,0.5,0.5,0.5,0.5,,,,1,,1,,1,,,,,,3,2,,1,
2005-01-01,0.3,0.3,0.3,0.3,0.3,0.3,,2,3,1,,,,,,1,2,2,2,,,1,1,
2005-01-02,0.5,0.5,0.5,0.5,0.5,0.5,2,2,1,2,,,,,,1,,1,1,1,,,1,2
2005-01-03,0.3,0.3,0.3,0.3,0.3,0.3,1,,2,1,,1,,1,1,,,,1,1,1,2,,
2005-01-04,0.8,0.8,0.8,0.8,0.8,0.8,2,2,1,,,,,2,,,,,1,1,,1,,
2005-01-05,1.2,1.2,1.2,1.2,1.2,1.2,1,1,2,1,,,,,2,2,1,,,1,,1,2,2
2005-01-06,0.2,0.2,0.2,0.2,0.2,0.2,,,2,1,,,1,,,,1,,1,1,,,,
2005-01-07,0.3,0.3,0.3,0.3,0.3,0.3,,2,,1,,2,1,2,1,,,1,,,,1,1,1
2005-01-08,0.7,0.7,0.7,0.7,0.7,0.7,1,,,,,,2,,2,,1,1,,2,2,,,
2005-01-09,0.8,0.8,0.8,0.8,0.8,0.8,,,,,1,1,1,,,,1,2,1,1,,1,1,
2005-01-10,0.2,0.2,0.2,0.2,0.2,0.2,,1,1,,,2,,1,1,,,2,,1,1,,1,1
2005-01-11,,,,,,,1,,1,1,1,,,2,1,,,3,,1,1,,,
2005-01-12,0.5,0.5,0.5,0.5,0.5,0.5,,,2,,,1,1,,,,,1,1,1,,,1,1
2005-01-13,0.7,0.7,0.7,0.7,0.7,0.7,1,,1,,,,,,2,,1,,1,,,,,
2005-01-14,0.7,0.7,0.7,0.7,0.7,0.7,1,1,1,,,,3,1,1,1,,,1,,,,,
2005-01-15,,,,,,,,,1,2,,2,1,2,,,,,,,,,,
2005-01-16,0.5,0.5,0.5,0.5,0.5,0.5,,,,1,4,,1,7,3,,1,,,1,,,,
2005-01-17,,,,,,,,,9,2,,,,,,2,,,,,,,,
2005-01-18,,,,,,,,,4,,,1,,1,1,,,,1,,,,,
2005-01-19,,,,,,,,1,4,3,1,,2,1,,1,1,,,,,,,
2005-01-20,,,,,,,,1,7,2,,,,2,,,1,,,,,,,
2005-01-21,,,,,,,,1,4,6,,,,1,,1,,,,,1,,,
2005-01-22,,,,,,,,,1,,1,,,,,1,,,,,,,,
2005-01-23,,,,,,,,,,1,,,,1,,,,1,,,,,,
2005-01-24,,,,,,,,2,4,2,,1,1,,,2,,1,,,,,,
2005-01-25,,,,,,,,1,5,2,,,1,1,1,1,,,,,,,,
2005-01-26,,,,,,,,1,3,4,,,2,1,,,,,,,,,1,
2005-01-27,,,,,,,,1,4,1,,,1,1,,2,,,,,,,,
2005-01-28,,,,,,,,1,5,3,,,2,,,1,,1,,,,1,,
2005-01-29,,,,,,,,,1,2,1,,,2,3,,2,,,,,,,
