Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2009-08-10,,,,,,,,,,,,,,,,,,11,3,4,10,6,2,2
2009-08-11,0.8,0.8,0.8,0.8,0.8,0.8,1,1,3,3,5,4,4,2,15,10,15,23,7,6,10,1,1,2
2009-08-12,,,,,,,1,1,3,2,7,4,8,9,8,6,21,19,4,3,4,3,3,4
2009-08-13,0.3,0.3,0.3,0.3,0.3,0.3,,4,2,1,4,7,3,3,5,10,15,20,13,4,8,,1,1
2009-08-14,0.5,0.5,0.5,0.5,0.5,0.5,1,1,,4,2,5,6,7,5,3,12,17,9,5,11,3,1,1
2009-08-15,0.3,0.3,0.3,0.3,0.3,0.3,1,3,1,4,7,4,4,4,6,6,7,6,2,6,5,12,,1
2009-08-16,0.5,0.5,0.5,0.5,0.5,0.5,,1,,2,4,5,6,,4,1,10,,3,1,3,1,1,1
2009-08-17,0.2,0.2,0.2,0.2,0.2,0.2,1,3,,2,5,5,,4,3,7,19,15,6,8,8,4,,1
2009-08-18,0.2,0.2,0.2,0.2,0.2,0.2,,3,3,4,2,5,1,5,12,12,16,,,1,6,5,2,3
2009-08-19,,,,,,,3,3,1,8,4,2,5,5,2,4,19,20,7,8,11,1,2,2
2009-08-20,0.8,0.8,0.8,0.8,0.8,0.8,,3,5,5,2,4,1,3,9,6,9,16,6,4,6,,,
2009-08-21,0.3,0.3,0.3,0.3,0.3,0.3,,4,5,2,6,8,5,6,5,8,9,13,2,4,6,,3,4
2009-08-22,,,,,,,2,4,3,2,4,,3,8,6,2,6,7,3,4,4,2,,
2009-08-23,,,,,,,,1,2,5,1,5,5,4,7,3,10,4,2,1,4,1,1,
2009-08-24,0.2,0.2,0.2,0.2,0.2,0.2,,,,2,1,1,7,2,9,2,14,12,4,5,3,1,,1
2009-08-25,0.5,0.5,0.5,0.5,0.5,0.5,,4,3,3,4,2,5,5,14,10,,,,3,,,,
2009-08-26,0.7,0.7,0.7,0.7,0.7,0.7,,1,,,1,2,2,5,1,13,11,14,10,3,4,,1,1
2009-08-27,0.3,0.3,0.3,0.3,0.3,0.3,,2,3,3,3,4,4,4,6,8,12,20,8,7,10,2,,2
2009-08-28,0.2,0.2,0.2,0.2,0.2,0.2,,4,,1,2,1,3,3,5,2,9,15,4,7,6,,2,1
2009-08-29,0.2,0.2,0.2,0.2,0.2,0.2,,3,3,3,4,3,2,2,1,8,5,5,12,6,5,2,1,
2009-08-30,0.3,0.3,0.3,0.3,0.3,0.3,,4,1,,2,3,6,4,8,2,6,6,1,2,2,,,
2009-08-31,0.2,0.2,0.2,0.2,0.2,0.2,,4,2,,5,9,9,9,12,6,13,15,5,1,2,1,,1
2009-09-01,0.2,0.2,0.2,0.2,0.2,0.2,,,2,5,4,1,6,3,6,9,10,12,4,4,7,2,,1
2009-09-02,0.3,0.3,0.3,0.3,0.3,0.3,,4,2,3,9,3,2,6,7,8,14,11,10,2,3,,1,1
2009-09-03,0.2,0.2,0.2,0.2,0.2,0.2,,,1,,1,3,,3,,2,8,15,8,6,7,1,,
2009-09-04,0.5,0.5,0.5,0.5,0.5,0.5,,2,3,3,3,2,3,2,3,6,10,14,7,2,6,5,1,2
2009-09-05,0.3,0.3,0.3,0.3,0.3,0.3,,1,1,3,3,6,4,5,3,7,5,4,7,6,2,,,
2009-09-06,0.3,0.3,0.3,0.3,0.3,0.3,,3,2,1,1,6,10,7,3,6,10,3,2,3,5,2,,
2009-09-07,0.3,0.3,0.3,0.3,0.3,0.3,,4,1,1,2,9,8,6,5,4,13,17,8,10,9,,1,3
2009-09-08,0.3,0.3,0.3,0.3,0.3,0.3,1,3,2,,3,,1,4,5,13,14,22,10,4,4,2,2,3
2009-09-09,0.3,0.3,0.3,0.3,0.3,0.3,,5,4,3,5,2,6,6,11,3,18,21,11,8,8,4,1,1
2009-09-10,0.8,0.8,0.8,0.8,0.8,0.8,2,2,3,3,5,1,4,5,5,9,15,20,13,4,7,2,1,2
2009-09-11,0.5,0.5,0.5,0.5,0.5,0.5,,4,4,3,1,10,7,3,6,9,18,17,15,11,6,3,3,1
2009-09-12,0.5,0.5,0.5,0.5,0.5,0.5,,3,,3,2,5,8,7,6,8,9,7,8,1,1,3,2,
2009-09-13,0.7,0.7,0.7,0.7,0.7,0.7,,2,,2,1,3,7,4,3,7,13,7,3,2,5,1,,
2009-09-14,,,,,,,1,4,,1,3,5,2,6,6,10,14,22,15,5,3,2,2,2
2009-09-15,0.2,0.2,0.2,0.2,0.2,0.2,,5,,,2,3,6,2,5,12,24,22,11,7,9,1,2,2
2009-09-16,,,,,,,,3,1,3,6,,6,4,8,4,13,17,6,3,6,1,,2
2009-09-17,0.7,0.7,0.7,0.7,0.7,0.7,,3,2,3,4,1,3,4,3,1,18,17,8,3,3,5,3,
2009-09-18,0.7,0.7,0.7,0.7,0.7,0.7,1,6,1,2,4,8,5,2,9,6,17,12,8,11,9,5,1,1
2009-09-19,0.2,0.2,0.2,0.2,0.2,0.2,1,3,1,2,6,7,6,7,7,7,8,7,10,3,2,1,1,1
2009-09-20,0.2,0.2,0.2,0.2,0.2,0.2,,1,2,4,8,6,2,4,8,14,8,7,2,4,1,1,1,
2009-09-21,0.2,0.2,0.2,0.2,0.2,0.2,,4,1,4,6,7,3,3,3,5,13,13,3,5,2,1,1,1
2009-09-22,0.5,0.5,0.5,0.5,0.5,0.5,1,5,1,2,2,3,4,6,4,9,14,23,4,7,3,1,2,2
2009-09-23,0.3,0.3,0.3,0.3,0.3,0.3,1,2,1,4,4,6,6,6,8,6,9,17,10,6,5,3,,2
2009-09-24,0.5,0.5,0.5,0.5,0.5,0.5,2,5,,3,7,2,3,8,9,5,13,20,6,3,5,1,2,2
2009-09-25,0.2,0.2,0.2,0.2,0.2,0.2,1,7,4,5,7,5,3,5,5,9,19,19,13,5,8,3,3,2
2009-09-26,1.2,1.2,1.2,1.2,1.2,1.2,1,3,4,4,5,2,7,9,8,13,4,11,11,13,4,1,5,4
2009-09-27,0.3,0.3,0.3,0.3,0.3,0.3,,2,,1,3,3,2,6,6,4,8,4,4,9,2,1,,1
2009-09-28,0.2,0.2,0.2,0.2,0.2,0.2,,2,3,2,6,5,6,9,7,5,12,16,9,1,5,2,,1
2009-09-29,0.3,0.3,0.3,0.3,0.3,0.3,1,2,3,1,3,4,3,7,5,6,10,15,2,4,8,2,,2
2009-09-30,,,,,,,1,5,2,3,4,4,4,5,9,6,14,16,10,1,9,,3,2
2009-10-01,0.5,0.5,0.5,0.5,0.5,0.5,,7,4,4,3,2,8,6,6,8,16,20,13,10,3,2,2,1
2009-10-02,0.2,0.2,0.2,0.2,0.2,0.2,,6,2,1,2,2,5,4,9,6,14,8,12,6,6,1,7,2
2009-10-03,0.5,0.5,0.5,0.5,0.5,0.5,,3,,2,3,3,8,3,6,2,13,6,3,5,4,1,,
2009-10-04,0.3,0.3,0.3,0.3,0.3,0.3,,3,1,1,4,8,8,7,3,10,12,3,5,2,,3,1,2
2009-10-05,0.3,0.3,0.3,0.3,0.3,0.3,,6,3,2,3,2,4,7,9,7,26,22,12,5,5,1,,1
2009-10-06,0.3,0.3,0.3,0.3,0.3,0.3,1,2,1,,2,,1,,3,2,7,5,6,3,2,1,,1
2009-10-07,0.2,0.2,0.2,0.2,0.2,0.2,,5,1,7,5,3,2,8,13,6,14,16,6,4,4,1,1,
2009-10-08,0.3,0.3,0.3,0.3,0.3,0.3,,6,3,2,6,6,5,6,5,9,16,25,6,1,3,2,1,4
2009-10-09,0.3,0.3,0.3,0.3,0.3,0.3,1,5,2,4,3,3,2,10,8,8,16,14,7,1,2,,3,3
2009-10-10,0.7,0.7,0.7,0.7,0.7,0.7,1,2,1,5,5,8,4,6,8,4,10,4,3,4,1,1,,
2009-10-17,0.2,0.2,0.2,0.2,0.2,0.2,2,4,1,2,5,11,5,7,2,5,5,5,7,3,7,1,,
2009-10-18,0.3,0.3,0.3,0.3,0.3,0.3,,5,1,1,2,8,6,2,4,2,8,2,,,2,1,,1
2009-10-19,0.3,0.3,0.3,0.3,0.3,0.3,1,5,1,,1,2,5,3,8,8,11,15,8,5,5,,1,4
2009-10-20,0.2,0.2,0.2,0.2,0.2,0.2,,4,,5,1,4,2,1,6,2,12,13,2,,3,1,1,1
2009-10-21,,,,,,,,3,1,2,1,4,4,6,5,3,10,9,6,,2,1,2,1
2009-10-22,0.2,0.2,0.2,0.2,0.2,0.2,,4,1,3,2,,3,5,9,6,17,23,6,4,3,4,2,2
2009-10-23,,,,,,,1,8,3,3,2,6,5,4,5,9,11,13,9,1,4,2,4,1
2009-10-24,,,,,,,,4,,2,3,3,2,2,1,1,5,5,1,1,1,3,1,
2009-10-25,,,,,,,4,,,,1,3,2,5,1,3,4,2,4,1,1,2,3,
2009-10-26,0.3,0.3,0.3,0.3,0.3,0.3,2,,,3,4,2,2,7,7,15,11,18,8,7,6,1,,2
2009-10-27,0.3,0.3,0.3,0.3,0.3,0.3,,2,4,2,4,5,6,,8,6,14,13,8,5,9,,2,1
2009-10-28,,,,,,,,3,2,4,6,3,2,7,8,6,14,19,4,5,4,1,2,
2009-10-29,0.5,0.5,0.5,0.5,0.5,0.5,1,6,2,4,3,4,6,7,10,11,10,12,8,2,5,4,,
2009-10-30,0.5,0.5,0.5,0.5,0.5,0.5,1,5,1,4,5,7,9,4,8,10,11,15,9,4,5,1,1,1
2009-10-31,0.7,0.7,0.7,0.7,0.7,0.7,,1,2,3,1,6,6,5,5,4,6,5,,,3,,3,1
2009-11-01,0.8,0.8,0.8,0.8,0.8,0.8,,2,,1,1,1,1,2,2,3,,1,1,1,1,,1,
2009-11-02,,,,,,,,4,1,1,4,3,3,3,2,5,12,12,5,3,5,3,2,1
