Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2010-01-14,,,,,,,,,,,,,1,,,,1,,,,,,2,
2010-01-15,,,,,,,,,,,,,,1,,,,,,,,,,
2010-01-16,,,,,,,,,,1,,,,2,1,,,,,,,,1,
2010-01-17,,,,,,,,,,,,1,,,,,1,,,,,,,
2010-01-20,,,,,,,,,1,,,,,,,,,,,,,,,
2010-01-21,,,,,,,,,,,,,,,1,,,,,,,,,
2010-01-22,,,,,,,,,,,,,1,,,,,,,,,,,
2010-01-23,,,,,,,,,1,,1,1,,,,3,,,,,,,,
2010-01-24,,,,,,,,,,,,8,2,1,,1,2,,,,,,1,
2010-01-25,,,,,,,,,,,,,,,1,,2,,1,,,,,
2010-01-26,,,,,,,,,2,,,,1,3,,1,,,1,,1,,,
2010-01-27,0.2,0.2,0.2,0.2,0.2,0.2,,1,1,2,,,,2,1,,1,1,5,,,,,
2010-01-28,,,,,,,,2,1,1,1,1,,1,,1,,1,3,,,1,,
2010-01-29,,,,,,,,1,2,1,,3,1,3,2,1,2,1,,1,,,,
2010-01-30,,,,,,,,,2,3,1,5,1,4,,4,,1,,,,,,
2010-01-31,,,,,,,,,2,3,1,10,2,8,2,4,2,,,,,1,1,
2010-02-01,,,,,,,,1,4,1,2,1,2,1,2,2,1,1,1,,,,,
2010-02-02,0.2,0.2,0.2,0.2,0.2,0.2,,3,7,1,1,,,1,1,1,1,2,2,,,,,
2010-02-03,,,,,,,,1,8,3,1,2,3,2,1,5,4,1,1,,,,,
2010-02-04,,,,,,,1,2,4,,,3,2,,,1,2,,1,,,,,
2010-02-05,,,,,,,1,4,3,3,,,1,,,1,,1,1,,1,,,
2010-02-06,,,,,,,,,2,3,2,4,4,2,1,2,,1,2,1,,4,1,1
2010-02-07,,,,,,,,1,2,2,5,1,7,3,1,1,6,2,1,,,1,,
2010-02-08,0.2,0.2,0.2,0.2,0.2,0.2,,2,8,5,1,1,4,3,3,1,1,,2,,,1,,
2010-02-09,,,,,,,,4,6,2,4,,4,3,2,1,1,1,2,2,,,,
2010-02-10,,,,,,,,3,5,,1,,1,,1,1,2,1,,1,1,,,
2010-02-11,,,,,,,,5,7,7,2,3,3,,3,,3,1,2,,1,,,
2010-02-12,,,,,,,,3,6,4,1,,1,7,2,1,3,4,2,1,,,,
2010-02-13,0.2,0.2,0.2,0.2,0.2,0.2,,,2,4,3,4,4,4,3,,1,1,1,,,,,
2010-02-14,,,,,,,,,3,2,7,5,11,6,2,4,7,,,,,,1,1
2010-02-15,,,,,,,,5,6,4,,2,5,2,5,,3,3,2,,,,,
2010-02-16,,,,,,,1,5,8,1,3,5,4,2,3,5,6,7,1,1,,1,,
2010-02-17,,,,,,,,5,7,1,,1,4,5,8,2,2,4,,1,2,,,
2010-02-18,,,,,,,,4,11,1,2,2,3,4,1,,5,3,2,,,,,
2010-02-19,,,,,,,,2,7,2,4,1,2,,3,3,1,5,2,,1,1,1,
2010-02-20,0.2,0.2,0.2,0.2,0.2,0.2,,,2,2,4,10,6,2,4,3,5,4,,1,3,,2,2
2010-02-21,,,,,,,,1,,3,,1,1,2,1,1,,1,,,,,,
