Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2016-01-02,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,1,1,3,2,,1,1,,1,,1,,
2016-01-03,0.2,0.2,0.2,0.2,0.2,0.2,,,,,3,9,3,1,,,,,,,,,,
2016-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2016-01-05,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2016-01-06,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2016-01-07,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2016-01-08,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2016-01-09,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,,,,,1,,,,,,,
2016-01-10,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2016-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2016-01-12,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2016-01-13,0.0,0.0,0.0,0.0,0.0,0.0,,,4,1,1,4,1,7,6,6,6,9,5,,2,,,1
2016-01-14,0.0,0.0,0.0,0.0,0.0,0.0,,4,11,5,4,2,4,,,6,11,10,9,3,3,,,
2016-01-15,0.0,0.0,0.0,0.0,0.0,0.0,1,8,26,14,4,5,16,9,9,15,14,13,10,2,1,3,,
2016-01-16,0.0,0.0,0.0,0.0,0.0,0.0,,2,4,6,9,9,7,17,18,7,7,1,1,2,2,,,1
2016-01-17,0.2,0.2,0.2,0.2,0.2,0.2,,2,2,3,5,4,7,5,8,7,7,3,,,,,,
2016-01-18,0.2,0.2,0.2,0.2,0.2,0.2,3,10,38,20,5,4,5,8,9,16,22,23,14,7,4,1,,1
2016-01-19,0.2,0.2,0.2,0.2,0.2,0.2,5,20,63,32,12,6,13,4,7,16,16,31,16,4,3,1,,1
2016-01-20,0.0,0.0,0.0,0.0,0.0,0.0,4,22,57,16,12,7,10,12,10,9,27,36,16,7,1,3,,3
2016-01-21,0.2,0.2,0.2,0.2,0.2,0.2,4,9,49,23,9,7,13,8,9,15,22,22,15,7,3,2,1,
2016-01-22,0.0,0.0,0.0,0.0,0.0,0.0,2,21,41,18,6,5,13,3,7,20,17,24,13,5,3,,,
2016-01-23,0.2,0.2,0.2,0.2,0.2,0.2,,2,5,9,12,13,7,19,8,8,16,3,3,,1,2,,
2016-01-24,0.2,0.2,0.2,0.2,0.2,0.2,,4,4,5,5,9,12,6,21,11,4,4,1,1,,,,1
2016-01-25,0.2,0.2,0.2,0.2,0.2,0.2,1,22,48,17,14,10,8,9,7,16,35,30,13,6,3,,,
2016-01-26,0.2,0.2,0.2,0.2,0.2,0.2,2,25,59,21,10,6,5,7,8,7,16,28,22,6,1,3,,2
2016-01-27,0.7,0.7,0.7,0.7,0.7,0.7,5,13,45,19,12,4,10,8,9,13,29,28,8,6,4,3,1,1
2016-01-28,0.0,0.0,0.0,0.0,0.0,0.0,4,14,58,16,8,13,9,11,11,15,25,45,23,11,3,4,,1
2016-01-29,0.5,0.5,0.5,0.5,0.5,0.5,4,25,55,20,8,14,15,14,17,12,31,30,9,11,1,,1,1
2016-01-30,0.2,0.2,0.2,0.2,0.2,0.2,,2,5,16,14,6,12,6,11,7,7,2,3,,,1,2,1
2016-01-31,0.0,0.0,0.0,0.0,0.0,0.0,,,1,7,7,9,3,3,7,9,1,4,1,1,1,1,,
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,2,7,48,17,11,4,7,7,6,12,19,22,18,9,4,3,,
2016-02-02,0.0,0.0,0.0,0.0,0.0,0.0,3,15,33,10,6,6,6,4,8,11,19,35,14,2,1,2,1,
2016-02-03,0.2,0.2,0.2,0.2,0.2,0.2,3,22,49,27,10,13,4,14,19,24,32,36,17,5,4,4,,
2016-02-04,0.0,0.0,0.0,0.0,0.0,0.0,4,14,58,16,8,13,9,11,11,15,25,45,23,11,3,4,,1
2016-02-05,0.5,0.5,0.5,0.5,0.5,0.5,4,25,55,20,8,14,15,14,17,12,31,30,9,11,1,,1,1
2016-02-06,0.0,0.0,0.0,0.0,0.0,0.0,,3,7,4,5,4,9,6,5,4,7,7,5,4,1,,1,
2016-02-07,0.2,0.2,0.2,0.2,0.2,0.2,,2,2,8,8,15,16,11,15,7,7,3,6,5,1,1,,
2016-02-08,0.2,0.2,0.2,0.2,0.2,0.2,2,10,56,16,8,4,4,6,8,12,30,33,13,4,3,,,1
2016-02-09,0.2,0.2,0.2,0.2,0.2,0.2,3,14,54,17,8,6,4,,,1,1,,,,,,,
2016-02-10,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1,1,2,9,20,22,10,4,4,2,1,4
2016-02-11,0.2,0.2,0.2,0.2,0.2,0.2,2,7,39,16,7,10,9,5,15,13,26,39,17,8,1,1,2,1
2016-02-12,0.0,0.0,0.0,0.0,0.0,0.0,1,13,43,14,4,8,10,9,16,14,22,19,12,4,6,3,1,
2016-02-13,0.0,0.0,0.0,0.0,0.0,0.0,,2,5,8,8,23,10,8,12,11,10,7,2,1,1,1,,
2016-02-14,0.0,0.0,0.0,0.0,0.0,0.0,,2,,6,8,13,18,15,12,4,7,6,1,1,,,,
2016-02-15,0.0,0.0,0.0,0.0,0.0,0.0,1,8,14,7,5,3,4,12,7,3,17,27,16,3,1,2,,1
2016-02-16,0.0,0.0,0.0,0.0,0.0,0.0,2,9,33,9,10,10,8,13,8,4,13,36,16,2,6,1,2,
2016-02-17,0.0,0.0,0.0,0.0,0.0,0.0,3,12,30,10,,4,8,2,9,2,13,30,14,7,4,1,1,2
2016-02-18,0.0,0.0,0.0,0.0,0.0,0.0,2,9,22,10,8,14,12,22,17,5,14,25,21,9,2,2,,2
2016-02-19,0.2,0.2,0.2,0.2,0.2,0.2,2,12,37,26,5,7,14,15,23,6,15,23,16,6,,3,1,
2016-02-20,0.0,0.0,0.0,0.0,0.0,0.0,,2,8,5,7,8,4,4,8,6,5,8,8,1,,2,1,
2016-02-21,0.2,0.2,0.2,0.2,0.2,0.2,1,2,,5,6,11,6,7,6,10,5,7,,2,,1,,
2016-02-22,0.3,0.3,0.3,0.3,0.3,0.3,6,19,44,31,9,14,9,17,15,15,29,47,18,10,5,,,
2016-02-23,0.2,0.2,0.2,0.2,0.2,0.2,3,20,49,23,15,9,15,18,11,21,30,55,19,8,6,1,2,
2016-02-24,0.2,0.2,0.2,0.2,0.2,0.2,5,26,49,20,11,8,16,15,15,12,28,45,17,2,5,2,1,3
2016-02-25,0.2,0.2,0.2,0.2,0.2,0.2,2,24,54,17,8,6,13,11,14,17,32,42,22,13,5,2,1,
2016-02-26,0.5,0.5,0.5,0.5,0.5,0.5,2,17,42,15,10,6,10,10,15,20,26,28,14,1,1,1,4,
2016-02-27,0.7,0.7,0.7,0.7,0.7,0.7,,3,9,13,14,16,18,10,14,8,11,2,5,1,2,3,,1
2016-02-28,0.3,0.3,0.3,0.3,0.3,0.3,,,5,11,17,8,18,15,14,11,8,9,4,1,1,2,,
2016-02-29,0.3,0.3,0.3,0.3,0.3,0.3,4,21,55,22,12,5,12,11,10,19,23,41,20,9,4,3,2,
2016-03-01,0.3,0.3,0.3,0.3,0.3,0.3,4,23,66,26,10,6,14,9,9,10,32,35,24,7,7,,2,
2016-03-02,0.3,0.3,0.3,0.3,0.3,0.3,5,20,55,16,2,3,5,15,9,13,21,27,12,4,1,2,3,1
2016-03-03,0.3,0.3,0.3,0.3,0.3,0.3,2,16,48,16,3,13,10,12,7,18,24,40,27,7,2,2,1,
2016-03-04,0.2,0.2,0.2,0.2,0.2,0.2,,11,31,16,8,7,9,10,7,13,14,28,14,3,1,,,
2016-03-05,0.2,0.2,0.2,0.2,0.2,0.2,1,2,9,14,16,14,10,16,10,15,9,4,,6,,1,1,2
2016-03-06,0.3,0.3,0.3,0.3,0.3,0.3,,2,2,9,16,12,17,14,19,13,8,4,3,3,,1,,
2016-03-07,0.3,0.3,0.3,0.3,0.3,0.3,2,22,49,21,11,5,9,15,18,11,24,40,17,10,4,2,4,1
2016-03-08,0.0,0.0,0.0,0.0,0.0,0.0,5,30,61,26,8,8,6,15,13,10,30,42,26,4,2,2,5,
2016-03-09,0.5,0.5,0.5,0.5,0.5,0.5,3,18,42,17,6,5,3,8,5,7,17,28,16,5,2,3,3,1
2016-03-10,0.3,0.3,0.3,0.3,0.3,0.3,6,20,54,24,15,7,13,12,5,16,17,39,22,17,4,5,1,
2016-03-11,0.0,0.0,0.0,0.0,0.0,0.0,3,21,44,16,7,16,12,17,11,22,37,43,14,4,6,1,3,1
2016-03-12,0.7,0.7,0.7,0.7,0.7,0.7,,2,11,8,17,11,20,22,13,13,10,12,8,2,1,,1,1
2016-03-13,0.3,0.3,0.3,0.3,0.3,0.3,,5,6,7,12,19,21,22,22,21,9,6,4,5,3,1,1,
2016-03-14,0.0,0.0,0.0,0.0,0.0,0.0,6,33,54,25,14,10,19,16,16,26,33,43,20,4,,2,,
2016-03-15,0.5,0.5,0.5,0.5,0.5,0.5,5,34,60,17,11,4,11,5,7,13,29,36,16,5,3,1,3,3
2016-03-16,0.3,0.3,0.3,0.3,0.3,0.3,5,28,65,32,9,11,13,10,14,15,24,42,15,6,5,2,,3
2016-03-17,0.7,0.7,0.7,0.7,0.7,0.7,7,31,41,23,13,20,13,18,12,12,33,46,16,11,2,3,1,1
2016-03-18,0.5,0.5,0.5,0.5,0.5,0.5,5,21,53,19,16,11,6,15,15,21,23,25,20,9,4,3,3,
2016-03-19,0.2,0.2,0.2,0.2,0.2,0.2,1,5,10,13,19,16,21,15,6,11,12,4,6,3,4,2,1,
2016-03-20,0.3,0.3,0.3,0.3,0.3,0.3,,4,5,10,34,17,30,24,13,13,6,8,4,3,1,2,,
2016-03-21,0.0,0.0,0.0,0.0,0.0,0.0,7,31,57,29,16,9,16,9,14,18,30,29,13,8,5,2,3,1
2016-03-22,0.0,0.0,0.0,0.0,0.0,0.0,12,35,59,19,11,17,5,9,15,11,35,38,27,6,4,3,1,
2016-03-23,0.3,0.3,0.3,0.3,0.3,0.3,7,28,51,31,11,14,9,12,15,21,26,45,16,5,5,1,1,1
2016-03-24,0.2,0.2,0.2,0.2,0.2,0.2,3,24,50,22,11,15,17,9,15,21,35,39,22,5,2,3,1,
2016-03-25,0.3,0.3,0.3,0.3,0.3,0.3,5,1,6,19,18,38,36,28,23,25,20,22,7,7,3,3,3,1
2016-03-26,0.2,0.2,0.2,0.2,0.2,0.2,1,3,9,17,14,14,17,10,13,8,6,3,,,1,1,2,2
2016-03-27,0.0,0.0,0.0,0.0,0.0,0.0,,2,2,6,13,13,12,8,10,6,3,6,4,4,3,,,
2016-03-28,0.0,0.0,0.0,0.0,0.0,0.0,1,,1,1,3,2,3,12,5,6,7,6,8,1,2,2,,
2016-03-29,0.2,0.2,0.2,0.2,0.2,0.2,3,24,54,19,5,11,16,13,11,11,19,32,17,14,1,1,,
2016-03-30,0.2,0.2,0.2,0.2,0.2,0.2,2,25,53,14,14,17,24,10,9,13,23,40,14,8,10,4,3,1
2016-03-31,0.0,0.0,0.0,0.0,0.0,0.0,4,28,41,24,17,23,12,17,13,18,21,38,33,11,6,2,,1
2016-04-01,0.3,0.3,0.3,0.3,0.3,0.3,4,19,44,19,11,8,13,11,15,20,26,23,12,9,7,5,2,
2016-04-02,0.0,0.0,0.0,0.0,0.0,0.0,,4,6,8,7,17,6,10,10,9,17,14,5,12,1,2,1,1
2016-04-03,0.2,0.2,0.2,0.2,0.2,0.2,,3,4,5,4,10,28,27,30,20,20,9,12,11,2,1,5,
2016-04-04,0.2,0.2,0.2,0.2,0.2,0.2,2,23,41,20,5,5,11,20,3,7,19,33,20,10,7,1,5,
2016-04-05,0.2,0.2,0.2,0.2,0.2,0.2,5,26,34,19,7,13,10,10,9,8,30,41,33,13,3,3,1,1
2016-04-06,0.5,0.5,0.5,0.5,0.5,0.5,4,23,55,23,8,5,15,13,20,7,26,36,23,8,9,2,,2
2016-04-07,0.5,0.5,0.5,0.5,0.5,0.5,4,27,46,14,10,5,9,20,8,,5,21,28,20,8,2,2,1
2016-04-08,0.2,0.2,0.2,0.2,0.2,0.2,2,1,19,45,24,14,21,22,20,20,17,21,36,19,12,4,4,3
2016-04-09,0.8,0.8,0.8,0.8,0.8,0.8,1,1,3,10,13,10,12,16,19,10,13,12,8,6,1,4,3,3
2016-04-10,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,3,20,28,30,21,28,26,21,21,10,13,14,4,2,
2016-04-11,0.0,0.0,0.0,0.0,0.0,0.0,,4,29,51,36,13,12,13,16,12,15,35,48,14,13,3,1,
2016-04-12,0.2,0.2,0.2,0.2,0.2,0.2,,7,25,71,27,4,5,7,7,7,7,25,51,23,12,4,,2
2016-04-13,0.3,0.3,0.3,0.3,0.3,0.3,1,7,31,67,32,13,14,12,14,9,18,33,38,23,13,17,2,2
2016-04-14,0.2,0.2,0.2,0.2,0.2,0.2,2,11,35,64,23,9,17,11,11,10,20,24,45,34,15,2,1,1
2016-04-15,0.3,0.3,0.3,0.3,0.3,0.3,1,3,22,55,30,14,12,16,18,14,20,25,37,15,6,1,1,3
2016-04-16,0.5,0.5,0.5,0.5,0.5,0.5,1,2,4,8,21,16,17,13,9,12,12,4,10,11,2,2,3,2
2016-04-17,0.7,0.7,0.7,0.7,0.7,0.7,1,1,2,4,12,34,26,17,27,20,21,20,18,8,5,3,,3
2016-04-18,0.5,0.5,0.5,0.5,0.5,0.5,2,3,32,75,26,6,9,8,14,10,19,35,40,28,7,3,5,1
2016-04-19,0.0,0.0,0.0,0.0,0.0,0.0,3,6,34,70,38,10,17,18,14,16,17,42,61,39,32,4,3,3
2016-04-20,0.5,0.5,0.5,0.5,0.5,0.5,2,7,43,72,38,19,17,17,14,24,21,37,54,20,27,20,6,2
2016-04-21,0.2,0.2,0.2,0.2,0.2,0.2,2,4,33,80,38,19,15,11,22,24,27,41,54,39,17,5,3,1
2016-04-22,0.3,0.3,0.3,0.3,0.3,0.3,1,5,34,68,37,17,11,11,21,9,19,38,46,31,11,8,4,1
2016-04-23,0.2,0.2,0.2,0.2,0.2,0.2,1,,3,13,16,25,16,20,28,24,10,14,13,4,2,6,,3
2016-04-24,1.3,1.3,1.3,1.3,1.3,1.3,1,,,5,21,14,25,25,22,8,20,16,16,10,4,4,3,1
2016-04-25,0.0,0.0,0.0,0.0,0.0,0.0,1,7,30,68,29,14,13,6,8,13,17,36,40,34,13,10,3,
2016-04-26,0.3,0.3,0.3,0.3,0.3,0.3,3,8,29,65,19,10,9,12,7,12,13,22,39,21,8,12,,2
2016-04-27,0.2,0.2,0.2,0.2,0.2,0.2,,3,34,71,28,21,12,14,9,11,8,32,47,22,5,6,4,2
