Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2008-08-16,96,67,77,49,21,16,30,75,326,771,1427,2323,2997,3664,4117,3761,2439,1587,605,279,190,223,236,252
2008-08-17,143,69,45,69,5,3,10,34,58,98,307,884,1716,1976,2082,2013,1104,369,199,83,80,47,69,25
2008-08-18,14,2,0,7,1,19,91,370,1076,854,1108,1760,3360,4039,2663,2346,2566,1908,657,273,160,104,57,37
2008-08-19,11,6,3,5,2,19,73,410,1158,1009,1164,1805,3982,4908,3064,3171,2522,1979,680,304,231,102,78,82
2008-08-20,28,27,22,9,4,16,69,411,997,872,1089,1774,3239,4023,2816,2429,2130,2167,724,295,185,93,68,44
2008-08-21,9,20,11,13,2,20,87,404,1080,900,1023,1803,3947,3996,2631,2373,2127,1960,599,350,179,118,145,73
2008-08-22,42,27,25,48,21,24,79,360,872,662,1227,2144,4069,4251,3021,2775,2327,1899,744,317,200,131,194,205
2008-08-23,78,96,41,35,17,34,49,103,328,454,1286,3015,4611,4528,4080,3604,2678,1530,591,247,194,189,164,172
2008-08-24,125,97,82,52,34,6,10,26,43,121,439,996,2178,2581,2078,2075,1346,484,152,139,143,131,152,150
2008-08-25,78,64,40,91,6,8,16,35,121,233,546,1171,1755,3126,2520,1992,1375,643,231,116,85,47,62,26
2008-08-26,6,12,5,6,2,17,81,342,911,807,1322,2084,3867,4907,3421,2728,2295,1802,710,285,177,85,105,80
2008-08-27,23,8,23,8,5,25,71,393,1058,883,1253,2353,3808,4398,3129,2706,2615,2296,835,314,176,108,115,96
2008-08-28,30,3,8,14,5,19,55,375,993,874,1223,2396,3882,5296,3116,2421,2298,2178,997,391,156,62,144,100
2008-08-29,49,41,24,42,3,18,86,394,1022,928,1398,2125,3907,4287,3269,2986,2652,2315,853,300,246,201,181,216
2008-08-30,171,104,78,75,6,7,36,99,353,891,1670,2693,3659,4224,4492,4211,3377,1933,650,381,212,230,289,332
2008-08-31,175,150,162,115,34,11,27,32,52,132,421,1016,1575,1899,2204,2389,1378,557,265,95,56,42,81,17
2008-09-01,24,0,1,3,1,14,78,433,982,927,1367,2687,4538,5727,2895,2499,2290,2363,721,256,165,77,85,24
2008-09-02,14,0,1,6,0,9,75,384,1053,673,1062,2605,4163,4651,2327,2047,2114,1736,650,286,170,89,121,98
2008-09-03,28,18,17,12,1,21,78,386,824,862,1346,1921,4051,3637,2214,2056,2205,1904,711,284,160,110,92,56
2008-09-04,8,8,8,4,2,28,67,391,1085,938,1307,1701,2952,3667,2263,1942,1817,1182,776,331,221,116,100,79
2008-09-05,73,22,21,44,18,12,60,498,1391,1217,1435,1791,3127,3611,2630,2247,2532,2105,812,277,160,146,197,102
2008-09-06,64,37,52,27,12,3,21,75,320,775,1704,2989,4952,5674,4411,4424,3069,1917,797,296,208,179,246,252
2008-09-07,118,132,92,144,42,11,11,26,76,188,669,1420,2285,2451,2070,1945,1138,450,177,121,86,60,51,38
2008-09-08,8,0,3,9,2,15,62,454,1109,912,1223,2163,4507,3872,2220,1759,2062,1784,680,237,138,103,78,37
2008-09-09,7,0,9,2,1,12,68,398,1324,1315,1447,1655,2957,3528,2437,1891,2216,1977,873,221,161,118,105,73
2008-09-10,25,43,17,7,0,12,71,411,881,820,1125,1660,3544,3897,2151,1693,1999,1774,714,326,230,138,114,72
2008-09-11,29,17,4,9,1,12,79,475,1170,960,1103,1681,3749,3414,2534,2136,2408,2111,929,399,165,145,160,90
2008-09-12,49,43,41,62,2,21,69,385,1170,939,1306,1771,2976,3488,2492,2450,2568,2182,736,325,214,151,167,164
2008-09-13,121,91,60,61,3,7,31,99,357,835,1697,3335,4007,5308,3882,3779,2944,1714,679,289,246,239,258,273
2008-09-14,199,132,184,119,41,4,9,32,59,140,427,985,1620,1904,2065,2110,1478,546,188,128,78,56,66,28
2008-09-15,10,1,2,4,1,8,50,380,1069,923,1184,1741,3165,3712,2259,1884,2237,2077,853,256,156,90,62,40
2008-09-16,13,18,7,6,2,15,80,394,1163,1005,1186,1720,3052,3723,2468,2040,2301,2128,808,301,110,54,74,71
2008-09-17,67,19,25,9,5,14,65,428,1041,1002,1099,1657,3175,3752,2464,2119,2171,2071,869,313,194,84,130,52
2008-09-18,36,13,7,14,2,7,85,412,1059,979,1441,3025,6085,5126,2446,1868,2292,1958,992,386,230,111,139,92
2008-09-19,64,55,31,69,9,8,74,420,1141,1037,1335,2033,3703,3783,2546,2217,2611,2116,836,339,223,165,173,204
2008-09-20,122,73,102,48,17,10,40,106,370,847,2139,4662,6774,6782,4126,4197,3335,2094,742,315,189,264,305,280
2008-09-21,212,160,153,163,35,2,10,23,62,154,548,1783,3456,3143,2097,2052,1539,628,223,107,99,66,52,133
2008-09-22,52,30,22,25,5,14,46,396,21,140,1111,1684,3339,3790,2431,2351,2647,2240,793,200,150,100,76,76
2008-09-23,39,22,19,17,4,14,63,378,1141,891,1459,2993,6084,4928,2335,2217,2341,2128,804,327,169,127,181,165
2008-09-24,85,52,70,25,3,21,70,423,934,1055,1247,2098,4816,4446,2353,2254,2421,2243,864,373,228,146,128,138
2008-09-25,85,40,30,27,6,12,60,418,1113,1056,1350,1804,3295,4300,2621,2440,2612,2384,1248,474,277,189,221,194
2008-09-26,106,84,72,51,13,26,74,456,947,949,1344,2645,3771,3856,2497,2400,2498,2001,829,372,248,211,242,277
2008-09-27,224,99,133,68,15,15,97,238,409,1102,2849,6413,8824,6139,4922,4979,4336,2486,1081,436,270,309,281,337
2008-09-28,261,313,300,205,38,25,21,32,69,129,562,1311,3223,3416,2544,2796,2008,993,506,242,198,165,251,197
2008-09-29,100,56,21,13,25,16,62,358,1065,984,2137,2822,3966,4624,2875,2422,2784,2604,976,302,126,192,341,0
2008-09-30,4,135,56,46,166,141,181,553,1395,1185,1644,2051,3688,3914,2874,2539,2896,2022,842,462,352,292,180,70
2008-10-01,25,95,168,203,190,141,102,396,1021,1140,1867,2652,4067,4053,2264,2240,2181,2055,817,266,243,148,146,74
2008-10-02,55,38,51,18,22,33,91,431,1028,1099,1935,2625,4829,4016,2686,2249,2451,2235,1230,461,221,180,195,125
2008-10-03,112,88,73,94,65,67,94,451,1048,1073,1490,2725,3218,4110,2939,2703,2786,2056,840,306,252,148,189,207
2008-10-04,143,72,71,60,15,39,55,94,409,903,1965,3187,4110,5213,5880,6500,4829,3457,1020,278,173,186,224,220
2008-10-05,112,99,82,52,11,2,5,14,47,150,523,1643,3696,2169,2606,2463,1718,690,253,126,102,66,87,69
