Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2016-07-04,,,,,,,,,,,,,,3,2,4,6,2,9,,,,,
2016-07-05,,,,,,4,3,27,19,8,,2,7,3,2,5,3,10,4,,1,,1,2
2016-07-06,,2,,,,3,6,28,20,10,2,2,4,2,3,3,6,10,2,,1,,,
2016-07-07,,1,,,,7,9,23,17,8,,2,7,4,4,3,7,6,1,,3,,,
2016-07-08,,,,,,6,9,18,20,4,2,2,5,5,1,1,5,7,4,,2,3,1,1
2016-07-09,,1,,,,3,3,4,3,2,9,5,2,1,2,2,1,,1,,1,,,
2016-07-10,1,,,,,1,,4,4,4,8,3,2,4,1,1,1,2,1,1,1,1,1,1
2016-07-11,1,,,,1,2,7,23,22,14,5,4,3,4,4,2,5,16,8,,3,1,1,
2016-07-12,,1,,,1,5,5,19,23,10,4,1,1,5,2,1,7,10,14,9,4,1,,1
2016-07-13,,,,,1,4,12,28,30,18,1,3,2,2,5,4,17,10,8,1,3,,,
2016-07-14,,,,,1,4,9,17,19,6,4,2,1,4,5,5,7,8,2,3,1,,3,
2016-07-15,,1,,,,6,4,12,18,5,5,9,6,6,1,5,5,7,2,1,3,,1,
2016-07-16,1,,1,,,2,3,5,2,4,3,11,8,4,1,,4,2,1,14,1,2,1,
2016-07-17,,,,,,,2,3,3,7,34,10,5,7,1,4,3,2,2,1,5,,1,
2016-07-18,,1,,,,6,10,25,16,9,1,4,3,1,3,4,3,7,5,4,3,2,,
2016-07-19,,2,,,,4,9,23,28,2,15,12,5,1,1,4,5,6,3,1,1,,,1
2016-07-20,,3,,,,6,8,28,25,7,1,1,2,2,1,3,7,4,4,4,1,1,,
2016-07-21,1,1,,,2,6,8,19,19,7,3,3,4,8,2,2,4,3,2,5,,1,,2
2016-07-22,,2,,,,3,6,21,14,5,5,4,4,3,6,1,3,2,3,5,1,,,
2016-07-23,1,1,,,,4,2,3,1,4,7,1,5,2,,2,3,7,,2,1,3,1,
2016-07-24,1,1,,,,1,,2,2,8,3,2,2,2,3,6,1,1,1,1,3,1,,1
2016-07-25,,,,,,6,10,27,29,7,2,3,5,12,5,5,6,7,6,31,2,1,,1
2016-07-26,,2,,,1,4,8,30,22,3,3,6,4,2,3,5,3,8,11,3,7,,,
2016-07-27,,,,,1,5,21,27,21,4,5,5,4,5,1,6,4,13,1,6,3,1,3,
2016-07-28,,2,1,1,1,7,7,32,17,3,1,1,2,6,1,5,2,12,1,2,2,,1,
2016-07-29,,,1,,1,7,6,19,14,5,4,1,1,4,4,13,3,4,6,2,2,2,,
2016-07-30,,,,,,4,2,1,2,4,6,5,1,4,,2,2,4,13,1,2,2,1,
