Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2019-07-03,,,,,,,,,,,3,4,12,12,13,16,44,64,26,18,14,15,7,4
2019-07-04,2,1,1,1,,5,13,9,12,11,5,7,8,9,12,18,37,60,30,22,22,6,12,7
2019-07-05,1,1,,,1,5,10,8,18,15,5,7,13,20,9,18,29,52,17,13,5,10,9,4
2019-07-06,6,1,1,,,1,2,5,8,4,4,5,4,13,6,6,5,12,12,14,8,3,12,8
2019-07-07,6,1,2,,3,3,3,5,6,9,8,15,10,14,12,21,14,19,5,2,,,,
2019-07-08,2,1,,,1,2,8,6,11,8,,4,8,15,9,16,35,66,42,15,9,11,11,3
2019-07-09,2,,,1,2,3,10,12,15,2,4,1,5,9,12,8,34,74,40,14,18,12,6,3
2019-07-10,3,1,1,,2,2,7,11,11,6,5,7,13,13,9,17,54,52,36,18,9,5,9,6
2019-07-11,,,1,1,,,5,1,1,4,2,4,4,3,4,7,14,17,6,5,6,3,2,3
2019-07-12,1,1,,3,2,1,8,6,7,7,3,5,16,12,13,21,41,57,15,12,7,10,5,6
2019-07-13,4,1,,1,,1,2,1,7,5,7,7,10,9,6,10,7,10,11,8,8,5,7,7
2019-07-14,4,,2,,2,,,1,3,3,2,9,7,15,6,11,7,12,8,8,12,7,10,5
2019-07-15,2,1,3,,1,1,5,9,10,3,4,6,10,11,10,11,34,73,40,23,16,6,12,1
2019-07-16,1,,3,1,,4,10,13,11,9,4,5,12,9,14,11,49,76,35,20,5,15,6,9
2019-07-17,2,2,3,1,2,3,6,10,15,4,5,3,11,14,16,9,44,84,37,25,14,8,8,4
2019-07-18,5,1,2,,2,2,7,7,14,3,6,3,8,16,15,14,35,58,35,20,17,11,9,10
2019-07-19,4,4,2,,2,2,12,7,8,9,4,1,11,12,12,8,30,36,16,12,7,7,12,3
2019-07-20,4,,1,,,1,6,3,2,5,6,10,5,2,9,10,3,10,9,8,5,3,3,5
2019-07-21,4,2,1,1,1,3,4,3,10,5,2,3,5,5,8,6,5,8,8,11,9,9,5,4
2019-07-22,4,,,,,2,9,7,10,8,5,10,12,10,15,13,44,73,39,17,12,12,3,4
2019-07-23,1,3,,,2,3,12,10,13,9,4,7,9,16,10,15,35,82,41,11,,,,2
2019-07-24,,,,,1,3,9,7,5,4,5,5,10,10,11,18,35,70,41,17,12,4,10,4
2019-07-25,2,,1,,3,5,8,12,7,7,4,10,18,11,10,16,38,71,24,23,12,16,9,7
2019-07-26,3,7,,3,1,1,11,13,11,6,5,3,8,8,16,9,40,46,19,15,6,10,9,5
2019-07-27,3,4,,,1,1,4,5,1,6,1,3,4,2,6,6,5,5,9,6,7,5,7,3
2019-07-28,1,1,1,,2,3,2,2,2,3,4,6,10,7,10,9,5,14,7,6,4,5,2,3
2019-07-29,,,1,1,1,2,5,9,8,7,2,2,6,8,10,13,26,62,24,13,9,7,5,
2019-07-30,3,1,,1,3,1,12,11,11,4,7,5,10,12,9,11,33,55,41,16,6,9,6,2
2019-07-31,3,2,,,2,3,8,14,8,8,2,5,6,12,5,14,21,56,39,17,11,10,4,5
2019-08-01,1,1,,,2,4,7,10,9,10,5,10,10,10,9,7,35,65,33,22,15,13,12,5
2019-08-02,5,1,1,,1,3,7,8,7,7,6,2,11,7,14,15,36,34,31,21,9,11,8,4
