Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2015-05-27,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-28,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-29,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-30,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-31,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-02,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-03,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-04,,,,,,,,,,,,,,,11,11,34,49,33,14,10,5,3,3
2015-06-05,2,,2,1,1,,2,9,6,8,7,3,9,12,9,10,34,31,25,11,2,4,5,2
2015-06-06,,,,1,1,2,3,2,2,4,5,6,8,5,6,6,9,5,4,5,4,2,,1
2015-06-07,1,,2,,,1,1,2,7,3,2,4,6,3,7,2,9,6,4,4,3,1,3,3
2015-06-08,,1,,1,,2,2,4,5,7,4,10,5,7,8,11,32,59,34,15,10,5,5,
2015-06-09,3,1,1,,,2,,7,5,6,8,6,6,6,10,12,32,53,34,19,7,3,4,1
2015-06-10,1,1,,1,,,1,7,5,2,4,8,8,12,11,8,31,65,35,5,5,7,9,
2015-06-11,1,,,1,,,,10,8,14,4,7,15,7,16,9,31,64,25,13,10,8,5,3
2015-06-12,2,1,1,1,,,3,6,7,7,3,4,7,7,13,17,33,40,22,10,4,5,8,1
2015-06-13,1,1,2,,,,,,1,1,3,2,5,5,7,4,8,6,4,4,4,2,1,1
2015-06-14,7,3,2,1,1,,,4,1,3,7,10,16,5,8,6,12,9,5,,,2,3,3
2015-06-15,,,1,,,,3,7,8,7,7,2,6,8,16,13,27,53,40,7,8,10,7,2
2015-06-16,,1,,,,,3,10,9,8,5,7,5,10,11,8,33,51,45,20,11,8,6,5
2015-06-17,,1,,,1,3,4,7,7,7,4,5,12,10,12,8,33,47,31,19,8,6,7,3
2015-06-18,2,2,,3,,2,2,12,9,8,9,4,7,8,6,14,29,48,30,19,6,4,5,1
2015-06-19,3,1,,1,,1,4,5,7,4,2,8,4,9,8,13,32,36,19,10,9,6,,3
2015-06-20,,2,2,2,1,1,1,3,1,4,3,4,5,1,6,6,6,8,5,7,3,1,2,5
2015-06-21,1,,,,1,2,,,,4,2,9,13,2,4,3,7,6,3,2,4,3,1,1
2015-06-22,,1,,1,,1,1,8,8,8,5,4,4,10,10,4,22,50,36,14,7,9,4,4
2015-06-23,,1,,,,,4,5,6,8,4,2,2,7,6,12,29,41,33,10,10,8,6,
2015-06-24,,2,,,,,2,5,5,5,4,7,6,11,9,12,39,46,28,10,10,5,6,3
2015-06-25,,1,,1,,1,2,10,11,6,5,10,4,12,10,9,30,51,22,11,13,5,7,3
2015-06-26,3,1,,,,1,1,4,7,1,1,6,3,6,7,11,24,34,17,5,7,4,2,2
2015-06-27,1,,3,2,1,,4,4,3,6,6,5,7,9,12,7,12,11,6,2,6,5,7,3
2015-06-28,2,2,,,,2,1,1,1,,2,8,2,5,6,5,10,11,9,,5,1,3,2
2015-06-29,,,,1,,1,4,9,4,10,3,8,12,5,11,16,29,54,35,5,9,6,8,2
2015-06-30,,1,1,,1,1,4,7,10,3,7,7,8,19,28,20,54,73,62,22,13,5,7,6
2015-07-01,4,,1,,1,1,6,4,12,15,4,6,9,5,15,13,33,48,47,11,10,4,16,8
2015-07-02,2,1,,1,,1,6,16,16,13,11,5,12,17,14,15,38,60,30,12,9,7,4,1
2015-07-03,2,1,1,,,,5,10,12,5,7,8,2,10,14,22,43,49,25,22,12,6,8,2
2015-07-04,2,,2,,,,2,1,,2,8,4,8,12,9,24,12,11,12,14,7,6,6,
2015-07-05,4,1,1,,,1,,3,3,1,4,6,2,13,13,8,6,9,5,5,1,3,3,5
2015-07-06,2,,,1,1,1,1,3,10,16,6,21,9,7,12,11,30,61,36,10,12,4,4,2
2015-07-07,2,2,1,,1,,6,3,6,5,5,7,12,13,6,5,19,47,28,14,6,8,9,1
2015-07-08,1,,2,1,,,2,5,7,2,3,3,4,11,6,5,21,40,26,14,8,5,8,1
2015-07-09,2,,1,,,,6,5,5,16,22,16,20,7,8,7,35,47,32,15,5,9,5,1
2015-07-10,2,,1,1,1,3,4,6,12,13,18,14,22,17,28,27,41,51,35,22,13,8,5,6
2015-07-11,2,3,2,1,,,1,3,7,8,3,9,14,9,10,6,6,6,3,2,7,2,1,1
2015-07-12,,1,1,,,1,,2,1,1,22,21,17,17,7,6,10,10,8,3,7,4,2,
2015-07-13,2,,,,,,,7,3,2,6,3,4,4,4,4,25,49,26,15,7,1,6,4
2015-07-14,2,1,,,,1,1,16,9,6,8,7,5,6,6,13,33,49,31,20,10,2,10,4
2015-07-15,2,1,,,,1,1,7,11,10,9,5,11,17,10,12,29,56,41,19,9,9,5,1
2015-07-16,2,,,1,1,,3,7,7,11,8,15,16,17,12,9,30,51,28,16,10,5,7,1
2015-07-17,2,1,,1,1,,2,3,5,5,4,7,8,7,8,9,29,51,18,7,6,3,8,6
2015-07-18,1,2,1,2,1,,1,1,,7,10,6,5,13,7,14,10,15,2,1,5,,4,7
2015-07-19,6,,1,3,2,3,,2,1,1,6,,4,5,5,6,7,6,7,2,6,3,2,3
2015-07-20,2,1,,1,,1,3,10,4,8,6,16,19,19,8,13,26,49,26,6,8,9,4,5
2015-07-21,2,,1,,1,,1,6,10,6,5,7,12,13,9,8,24,49,23,15,6,7,3,3
2015-07-22,2,,,1,,,3,7,8,4,8,2,6,4,9,14,27,44,33,11,8,10,7,
2015-07-23,,1,1,1,1,1,5,7,4,9,5,6,7,9,8,12,30,55,22,4,11,2,4,3
2015-07-24,1,,1,1,,1,2,10,11,2,5,11,6,5,9,11,24,41,26,9,4,2,3,5
2015-07-25,4,2,2,1,1,,2,1,7,6,6,2,20,17,6,8,10,9,6,1,3,3,,7
2015-07-26,2,1,1,2,1,2,1,1,2,,6,13,11,1,3,4,,4,,1,2,1,2,2
2015-07-27,,,1,,,1,5,7,1,7,4,4,1,6,7,9,13,46,15,7,8,5,3,
2015-07-28,1,,,2,,,6,6,7,2,2,5,6,7,7,9,20,32,20,8,4,3,7,1
2015-07-29,,1,,,1,2,7,5,7,4,10,7,3,4,13,12,28,50,32,8,5,6,8,
2015-07-30,,3,,2,,,8,9,8,4,3,6,5,2,2,14,17,48,32,10,6,5,5,5
2015-07-31,3,2,,2,,3,3,15,7,6,10,7,23,11,12,14,18,39,17,11,4,1,3,6
2015-08-01,,,,2,,1,2,3,3,4,5,13,9,5,8,7,8,5,6,3,2,3,,1
2015-08-02,4,1,1,1,1,2,2,2,2,2,3,1,5,2,3,6,9,10,6,3,4,4,4,1
2015-08-03,,,2,,,2,3,7,6,7,9,11,17,17,13,15,18,60,41,5,9,7,2,3
2015-08-04,2,1,1,,1,1,3,7,5,8,5,5,9,8,7,9,24,51,29,11,10,5,,3
2015-08-05,2,1,2,1,1,2,1,10,8,5,5,9,18,15,17,9,25,59,36,14,6,3,5,4
2015-08-06,2,,,2,1,,2,7,3,7,6,4,8,7,7,11,28,34,28,21,11,8,3,6
2015-08-07,2,2,,4,,3,5,18,7,5,1,6,7,21,15,20,33,46,25,9,8,1,2,4
2015-08-08,2,1,,1,2,4,3,1,4,6,6,10,6,11,22,24,16,24,15,10,13,9,3,4
2015-08-09,1,1,1,2,,1,2,1,1,2,7,5,3,9,12,12,14,11,10,11,5,5,2,3
2015-08-10,,2,,,,2,2,12,6,5,2,7,8,11,9,9,27,46,37,17,7,2,1,4
2015-08-11,2,1,,,1,,8,9,10,7,20,9,11,18,17,20,27,44,42,12,14,6,5,5
2015-08-12,,,,1,1,,7,9,11,11,7,9,10,17,20,16,34,72,50,17,9,7,11,3
2015-08-13,6,,,1,,1,3,7,9,6,3,8,10,10,15,8,27,50,27,13,4,4,3,2
2015-08-14,3,,,1,1,,1,6,2,6,1,6,3,2,1,8,17,27,7,3,4,3,3,4
2015-08-15,,3,,1,2,1,6,1,1,10,7,1,7,10,12,5,5,9,4,6,8,,,3
2015-08-16,4,1,2,1,,1,1,5,2,4,1,5,3,5,3,7,9,10,3,3,4,1,1,2
2015-08-17,,1,,,,,3,7,6,8,8,5,16,13,17,23,26,56,32,9,2,3,3,1
2015-08-18,3,1,2,,,,7,5,4,4,4,3,,7,5,3,24,31,23,7,4,3,2,2
2015-08-19,,1,1,1,,,3,7,11,8,23,5,10,16,24,13,30,41,36,10,6,7,1,2
2015-08-20,1,2,1,,,,3,6,5,6,9,9,7,13,7,14,26,50,22,16,8,2,3,4
