Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2019-06-27,,,,,,,1,2,2,3,2,6,,5,3,4,8,3,7,5,7,,,
2019-06-28,,,,,1,,2,4,3,,5,4,5,9,2,5,2,1,1,4,1,3,,
2019-06-29,,,,,1,,1,,3,7,3,10,4,12,2,8,8,11,3,1,2,,1,
2019-06-30,,,1,,,,,2,2,6,2,4,8,15,14,12,15,3,,,2,,,
2019-07-01,,,,,1,1,1,,4,,3,1,6,1,1,1,1,,1,4,,,,
2019-07-02,,,,,1,,2,2,4,2,2,3,9,5,,4,6,4,4,1,9,1,,
2019-07-03,1,,,,1,1,1,,2,,2,1,5,2,8,4,9,4,3,3,2,2,1,
2019-07-04,,,,,1,,1,,3,3,4,3,4,8,3,2,4,7,7,,3,6,3,
2019-07-05,,,,,1,1,1,3,2,,,1,5,4,5,8,5,,2,5,,,3,3
2019-07-06,1,,,,,,,,1,3,5,17,4,10,4,9,7,3,8,2,1,,,
2019-07-07,,,,,,,,2,5,3,1,14,15,11,7,22,5,4,7,2,,,,
2019-07-08,,,,,1,,1,,3,2,7,5,2,6,,7,1,4,1,3,1,1,,
2019-07-09,,,,,1,1,1,,2,,1,2,5,1,2,2,5,5,,4,,,,
2019-07-10,,,,,1,,3,1,2,,5,4,3,5,1,1,9,3,5,6,2,10,1,
2019-07-11,,,,,1,,1,2,1,,,,5,,,4,7,4,2,5,,,,3
2019-07-12,,,,,1,1,1,,1,3,6,4,3,5,8,4,3,4,7,6,1,3,1,
2019-07-13,1,,,,,,,1,,2,6,14,2,6,6,10,5,,3,,,,,
2019-07-14,,,,,,,,,2,2,5,3,15,3,8,7,9,7,2,,1,3,,
2019-07-15,,,,,1,2,1,3,6,2,2,5,3,9,4,7,1,6,6,4,2,,,1
2019-07-16,,,,,1,1,1,1,3,,1,9,6,2,8,3,5,8,3,1,5,,,
2019-07-17,,,,,,,1,,4,5,5,4,4,2,6,10,4,4,5,5,3,,,
2019-07-18,,,,,,2,1,,2,1,1,4,9,,5,3,6,3,1,1,5,1,,1
2019-07-19,,,,,2,,2,1,1,1,1,1,2,9,6,2,1,,,,,1,,
2019-07-20,1,,,,,,,,,2,,6,1,,3,6,12,1,2,6,2,1,,
2019-07-21,,2,,,,,,,8,4,8,5,12,18,25,4,7,3,4,,2,1,,
2019-07-22,,,,,1,1,,1,2,,1,5,2,5,7,3,2,6,1,1,7,1,,
2019-07-23,,,,,1,1,1,3,4,1,,6,12,5,5,4,8,8,5,,7,,1,
2019-07-24,,,,,1,,,2,1,,5,7,1,5,8,5,3,2,1,5,1,2,,1
2019-07-25,,,,,1,1,2,2,3,2,1,1,5,5,5,3,5,,,3,1,3,,1
2019-07-26,,,,,1,,2,,3,2,3,6,5,5,3,9,4,4,2,2,1,,,
2019-07-27,,,,,1,,,,4,,,3,7,3,,2,,,,,,,,
2019-07-28,,,,,,,1,,,3,2,5,4,3,7,5,4,,,,,,,
2019-07-29,,,,,1,,1,,1,2,,2,1,2,4,8,3,9,3,7,,2,,
2019-07-30,,,,,1,,1,2,2,,3,4,2,5,2,,2,1,,3,,,,
2019-07-31,,,,,1,,1,,1,1,,,2,,1,,3,3,1,,,1,,
2019-08-01,,,,,1,,1,,7,3,4,4,,3,3,2,5,,,,3,,,
2019-08-02,,,,,1,,1,1,3,1,1,4,7,9,6,7,5,10,2,1,1,,,1
2019-08-03,1,,,,,,,,2,5,3,8,7,8,13,15,6,6,,4,2,3,,
2019-08-04,,,,,,,,,3,3,6,9,3,15,5,2,9,1,1,1,,2,,
2019-08-05,,,,,,,2,,4,2,2,,2,3,8,2,2,2,2,3,2,,,
2019-08-06,,,,,,,2,2,7,8,2,4,2,,7,1,2,9,1,,,2,1,1
2019-08-07,,,,,,1,1,1,2,,1,1,4,2,2,1,5,2,,3,1,2,,
2019-08-08,,,,,,1,2,2,2,,3,10,2,10,3,9,5,3,6,10,1,3,1,
2019-08-09,,,,,,,1,,2,,,,2,,1,2,,11,3,1,,,,
2019-08-10,,1,,,,,,,,1,1,8,2,1,2,1,,,,1,1,,,
2019-08-11,,,,,,,,,2,1,1,15,3,4,3,3,2,1,,,,,,
2019-08-12,,,,,,1,1,1,4,,,3,3,2,3,3,7,5,2,3,2,,,
2019-08-13,,,,,,1,1,2,5,1,3,3,7,2,2,5,4,2,1,6,3,2,1,
2019-08-14,,,,,,1,1,1,2,1,3,3,3,3,4,1,,2,,,,,,2
2019-08-15,,,,,,1,1,,2,,3,1,3,5,1,8,4,4,1,3,,1,,2
2019-08-16,,,,,2,,1,1,,3,,2,2,3,,,1,1,,,2,,,
2019-08-17,,,,,,,1,,1,3,2,7,2,7,3,7,7,10,1,7,,,,
2019-08-18,,1,,,,,,1,3,4,2,7,9,6,5,7,7,2,2,,2,2,,
2019-08-19,,,,,1,,2,,2,,1,3,2,2,,2,1,3,3,2,,,,
2019-08-20,,,,,1,,1,2,4,2,,2,2,5,5,9,5,2,2,,1,,,2
2019-08-21,,,,,1,,1,,3,1,,3,3,6,5,,2,4,4,,3,,,1
2019-08-22,,,,,,,1,2,1,,,1,4,1,,4,4,1,4,,,,,
2019-08-23,,,,,,,1,1,3,,2,9,4,6,11,8,9,7,2,3,1,,,
2019-08-24,,,1,,,,,1,2,4,2,19,7,13,5,9,5,2,3,4,,,,
2019-08-25,,,,,,,,1,1,2,5,6,6,10,23,8,10,4,9,4,,1,,
2019-08-26,,,,,,,,,1,2,1,10,12,4,6,12,9,17,6,1,1,1,,
2019-08-27,,,,,,,1,2,5,2,4,8,,4,3,5,3,2,,,1,,,
2019-08-28,,,,,1,,1,,3,1,5,1,5,2,4,1,1,2,1,,2,,,
2019-08-29,,,,,1,,1,2,2,1,4,4,1,4,4,,2,10,1,,,,,
2019-08-30,,,,,1,,2,,4,1,1,2,6,1,3,3,2,1,,2,3,,,
2019-08-31,,,,,,,,,4,9,1,7,3,3,5,,5,,1,2,,,,
2019-09-01,,,,,,,,,2,1,6,2,16,,3,5,4,,1,2,,,,
2019-09-02,,,,,1,,1,1,4,1,,3,3,6,1,2,4,1,5,3,,,1,
2019-09-03,,,,,1,,2,2,4,,6,1,3,3,5,1,1,3,7,,,,,
2019-09-04,,,,,1,,1,3,5,,3,2,,12,1,4,2,1,1,,1,,,
2019-09-05,,,,,1,,1,3,3,,1,2,4,8,2,4,5,6,1,6,,1,,
2019-09-06,,,,,1,1,1,3,2,,,2,1,1,3,1,1,3,,1,,,,1
2019-09-07,,,,,1,,,,5,4,5,12,2,4,9,5,8,2,1,,1,1,,
2019-09-08,,,,,,,,1,1,2,1,10,18,8,12,11,9,6,7,,,,,1
2019-09-09,,,,,1,,1,2,3,,,3,2,,,1,2,4,8,2,,,,
2019-09-10,,,,,1,,1,1,3,1,,2,3,9,6,2,4,2,,1,,,,
2019-09-11,,,,,1,,1,2,4,,1,,1,,1,1,3,1,4,,,,,
2019-09-12,,,,,1,,,1,3,2,,1,2,2,1,,8,1,,2,1,,,
2019-09-13,,,,,1,,1,3,,,4,3,4,9,3,7,5,1,1,4,1,1,,1
2019-09-14,7,,,1,,,,,1,7,4,7,3,14,7,18,10,,10,1,3,,,
2019-09-15,,,,,,,,,2,,7,3,3,5,7,12,5,3,2,,2,,,
2019-09-16,,,,,1,,1,,2,1,2,,3,4,,3,5,3,2,6,,,,
2019-09-17,,,,,1,,1,3,4,3,,,2,3,2,3,4,4,1,1,2,,,3
2019-09-18,,,,,1,,1,1,3,2,2,1,5,5,1,5,6,4,1,2,1,,,1
2019-09-19,,,,,1,,1,2,2,,1,3,4,2,6,2,10,4,4,2,,2,,
2019-09-20,,,,,1,,1,3,3,3,1,7,11,8,3,6,7,2,1,1,,2,,
2019-09-21,,,,,,,,,2,4,1,5,11,5,4,14,12,9,,,2,,,
2019-09-22,,,,,,,,2,3,6,1,1,2,,3,1,2,,,1,,,,
2019-09-23,,,,,1,,1,2,5,,4,2,1,4,4,2,1,4,1,8,,,,
2019-09-24,,,,,1,,1,2,3,,,,,,,,4,,1,,,,,
2019-09-25,,,,,1,,1,3,3,1,2,,,2,1,7,3,2,,,,,,
2019-09-26,,,,1,,,1,,2,1,1,,3,1,,,2,,,4,,,1,
2019-09-27,,,,,1,,1,2,,,,,2,,3,1,,,,,,,,
2019-09-28,1,,,,,,,,,,,2,1,,6,2,,4,1,,,,,
2019-09-29,,,,,,,,,,,,3,,3,,1,,,,,,,,
2019-09-30,,,,1,,,1,2,3,1,4,1,4,1,1,1,4,2,1,,,,,
2019-10-01,,,,,1,,,1,1,,,,,,,1,3,2,1,,,,,
2019-10-02,,,,,1,,2,1,5,1,1,2,4,3,11,6,3,6,2,2,,1,,
2019-10-03,,,,1,,,1,,4,1,,3,5,1,4,,4,2,1,,,,,
2019-10-04,,,,1,,,1,1,,,1,1,1,1,,3,1,1,1,,2,,,1
2019-10-05,,,,,,,,,1,1,3,9,1,9,,5,2,3,2,3,,,,
2019-10-06,,,,,,,,,,2,1,2,5,3,,7,1,,1,,,,,
2019-10-07,,,,,1,,1,2,2,,,,1,,,,3,2,1,,,,,
2019-10-08,,,,,1,,1,1,5,,1,1,6,1,,2,1,5,1,,,1,,
2019-10-09,,,,,1,,1,1,2,,,,1,,,1,1,1,,,,,,
2019-10-10,,,,,1,,1,2,2,1,2,,4,,,3,1,4,,,,,,
2019-10-11,,,,,1,,1,2,,,,1,,2,2,3,4,1,2,,,,,
2019-10-12,1,,,,,,,,1,2,2,10,6,4,5,8,8,9,,2,,,,
2019-10-13,,,,,,,,,1,,3,3,2,2,3,3,2,,,,,,,
2019-10-14,,,,1,,,1,4,2,,1,1,6,2,1,1,1,3,,,,,,
2019-10-15,,,,1,,,1,3,2,1,2,2,1,3,2,,1,,4,,,,2,
2019-10-16,,,,1,,,1,2,2,,1,,,,2,,5,4,,,,,,
2019-10-17,,,,1,,,1,2,3,2,,,1,2,4,5,2,2,,2,,,,
2019-10-18,,,,1,,,1,2,1,2,,2,2,1,3,3,1,1,,,,,,
2019-10-19,1,,,,1,,,,1,1,1,6,2,3,4,2,1,,,,,,,
2019-10-20,,,,,,,,,1,6,3,5,9,14,13,5,,,,,,,,
2019-10-21,,,,1,,,,3,2,,3,1,2,2,4,1,3,3,5,,,,,
2019-10-22,,,,1,,,1,3,3,,,4,6,4,4,1,1,1,,,,,,
2019-10-23,,,,1,,,1,1,2,,2,3,4,3,4,9,3,1,1,,,,,
2019-10-24,,,,1,,,1,2,1,1,1,1,4,4,3,4,4,,2,,,,,
2019-10-25,,,,1,,,1,,1,,3,2,2,2,1,,1,,,,,,,1
2019-10-26,,,,,,,,,,1,5,,,,1,,,,1,,,,,
2019-10-27,,,,,,,,,2,,1,1,2,2,5,12,3,2,,,,,,
2019-10-28,,,,,,,1,,4,3,1,4,5,1,7,1,1,2,,,,1,,
2019-10-29,,,,,,,1,,4,2,3,3,7,3,2,1,5,,,,,,,
2019-10-30,,,,,,,1,1,1,1,3,6,5,6,8,1,5,,,,,,,
2019-10-31,,,,,,,,1,2,,2,1,1,3,7,1,2,1,,,1,,,1
2019-11-01,,,,,,,1,,1,1,,,,,4,,2,,,,,,,
2019-11-02,,1,,,,,,,1,2,1,,1,2,4,,,,,,,,,
2019-11-03,,,,,,,,,,1,8,3,7,4,17,3,1,,,1,,,,
2019-11-04,,,,1,,,1,2,3,4,,,,3,,1,,,,,1,1,,
2019-11-05,,,,1,,,1,1,1,,1,2,,,,1,5,1,,,,,,
2019-11-06,,,,1,,,1,2,1,,1,4,1,2,12,,1,,2,,,,,
2019-11-07,,,,,,,1,1,,1,,1,,,,2,1,1,,,,,,
2019-11-08,,,,1,,,1,1,1,,1,4,,,3,,,,,,,,,
2019-11-09,,1,,,,,1,,,2,5,4,6,5,3,2,4,,,,,,,
2019-11-10,,,,,,,,,1,3,4,3,1,4,7,7,3,,,,,,,
2019-11-11,,,,1,,,1,2,2,,,1,2,,1,2,1,,,,,,,
2019-11-12,,,,1,,,1,,,,1,3,,2,,,1,,,,2,,,
2019-11-13,,,,,,,1,2,4,1,2,1,,1,,,1,1,1,,1,,,
2019-11-14,,,,1,,,1,3,2,,1,2,2,,,2,,2,1,,,,,
2019-11-15,,,,1,,,1,2,1,,1,1,,4,3,1,,2,,,,,,
2019-11-16,,1,,,,,1,1,,3,,5,3,,,,1,,,,,,,
2019-11-17,,,,,,,,,,4,,3,6,1,1,4,1,1,1,,,,,
2019-11-18,,,,1,,,1,2,5,3,,1,4,,5,,,,1,,,,,
2019-11-19,,,,1,,,1,1,2,,2,2,,3,,,2,1,,,,,,
2019-11-20,,,,1,,,1,1,1,,2,2,1,1,,,,1,1,,,,,
2019-11-21,,,,1,,,1,1,1,,3,2,1,,2,2,1,1,,1,,,,
2019-11-22,,,,1,,,1,1,1,1,,,2,2,4,2,1,,,,,,,
2019-11-23,,1,,,,,1,,,,1,3,1,,,2,,,,,,,,
2019-11-24,,,,,,,,,1,1,2,3,5,,4,,,1,,,,,,
2019-11-25,1,,,1,,,,1,1,1,1,1,,3,2,,2,1,1,,,,,
2019-11-26,,,,1,,,1,2,,1,,,1,,,2,1,,1,,,,,
2019-11-27,,,,1,,,1,1,3,,,,1,,1,2,1,1,,1,,,,
2019-11-28,,,,1,,,1,2,1,1,,,,,,,2,2,,,,,,
2019-11-29,,,,1,,,1,2,2,1,,3,2,5,3,2,,,1,,,,,
2019-11-30,,1,,,,,1,,,1,2,3,4,1,4,3,,,,,,,,
2019-12-01,,,,,,,,,1,1,3,,6,,1,3,,,,,,,,1
2019-12-02,,,,1,,,1,,1,2,1,2,,1,4,3,,,,1,,,,
2019-12-03,,,,1,,,1,2,3,1,,1,1,2,3,,2,1,2,,,,,
2019-12-04,,,,1,,,1,2,2,,2,1,1,,8,,2,3,,1,,,,
2019-12-05,,,,1,,,1,1,1,,1,1,,,,1,3,,,1,,,,
2019-12-06,,,,1,,,1,3,1,,,,,,,1,1,,1,,,,,
2019-12-07,,1,,,,,1,,,,2,3,1,13,12,,,1,,,,,,
