Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2010-04-30,,,,,,,,,,,,,,,,,3,4,3,,,,,
2010-05-01,,,,,,,,5,1,2,2,2,5,8,4,9,11,5,5,6,1,1,,
2010-05-02,,,,,,,,,,4,5,5,3,14,3,10,13,5,8,6,2,1,,
2010-05-03,,,,,,,,2,2,2,5,4,15,8,14,4,9,12,12,2,5,1,,
2010-05-04,,,,,,,1,6,27,45,14,4,9,11,5,3,5,3,8,4,5,1,3,1
2010-05-05,,,,,,,1,9,42,35,13,7,,6,6,2,2,13,8,7,7,1,,
2010-05-06,,,,,,2,8,32,36,5,2,3,5,8,4,4,3,4,,4,1,,,
2010-05-07,,,,,,1,3,16,33,11,4,4,4,7,6,7,7,7,4,2,3,,,
2010-05-08,,1,,,,,,5,2,8,5,8,11,3,6,11,6,10,6,1,1,,,1
2010-05-09,,,,,,,3,2,2,7,15,7,15,11,18,8,13,6,6,2,4,1,,
2010-05-10,,,,,,2,5,20,38,10,4,,5,3,1,1,1,4,4,2,1,,,
2010-05-11,1,,,,,1,7,33,56,15,15,4,6,8,2,3,5,6,2,7,3,1,,
2010-05-12,,,,,,,4,36,43,12,4,1,6,1,1,1,6,6,4,2,,,,
2010-05-13,,,,,,1,5,27,60,19,5,1,3,3,,3,4,5,4,5,2,,,
2010-05-14,,,,,,,8,21,40,14,2,8,5,8,7,3,4,9,2,3,6,,,
2010-05-15,,,,,,,3,1,7,8,8,6,12,13,18,11,11,8,4,3,2,,,
2010-05-16,,,,,,1,2,,7,7,9,17,12,13,10,14,9,8,6,1,,,1,
2010-05-17,,,,,,1,4,27,58,16,6,11,5,,2,3,1,10,7,5,1,3,1,
2010-05-18,,,,,,1,6,39,55,17,9,1,5,11,8,5,6,12,11,10,4,5,,
2010-05-19,,,,,,,9,35,69,18,9,4,10,1,5,3,10,10,11,11,4,1,,
2010-05-20,1,,,,,1,4,52,61,18,7,11,1,2,10,10,8,8,7,4,6,1,,
2010-05-21,,,,,,1,5,43,45,14,14,3,9,3,7,8,11,13,4,6,3,3,,1
2010-05-22,,1,,,1,,1,3,8,8,8,,8,12,13,14,5,,4,4,,1,,
2010-05-23,,,,,1,,1,2,10,12,19,15,9,13,17,22,14,19,6,3,2,,,
2010-05-24,,,,,1,1,11,29,59,18,7,8,4,2,5,5,5,8,9,11,2,3,,
2010-05-25,,,,,,3,6,38,57,16,5,3,5,5,3,6,3,16,7,7,2,1,1,
2010-05-26,,,,,,3,2,32,66,21,5,4,5,12,3,11,5,12,9,5,4,,,
2010-05-27,,,,,,2,3,27,56,29,4,2,3,6,3,1,11,8,12,3,4,3,,
2010-05-28,,,,1,,1,3,37,38,13,8,5,5,5,6,4,6,9,7,8,2,,1,
2010-05-29,,,,,,,2,1,2,1,1,,,2,4,2,,2,1,2,,,,
2010-05-30,,,,,,,1,1,1,4,13,6,2,12,16,20,7,9,2,1,,,2,
2010-05-31,,,,,,,1,2,4,4,9,5,9,24,28,18,9,12,8,6,4,,,
2010-06-01,,,,,,,6,23,37,11,1,7,3,1,,,3,3,5,,2,,,
2010-06-02,,,,,,1,4,12,26,3,6,3,2,8,11,2,7,11,5,4,2,2,1,
2010-06-03,1,,,,,1,6,39,42,22,6,,14,9,6,10,4,12,8,15,8,1,1,
2010-06-04,,,,,,,8,34,42,15,12,2,5,6,6,9,8,11,9,7,4,,,
2010-06-05,,,,,1,,2,6,5,7,13,15,10,15,10,15,1,7,12,4,2,2,1,
2010-06-06,1,,,,,,1,3,4,6,3,4,3,1,6,16,6,6,1,2,1,1,,
2010-06-07,,,,,,4,6,21,33,15,7,2,4,2,3,4,11,9,7,10,2,,,
2010-06-08,,,,,,2,4,23,20,9,2,,2,2,,1,1,3,3,1,1,,1,
2010-06-09,,,,,,1,2,10,14,4,,,2,2,,,1,1,3,2,1,1,,
2010-06-10,,,,,,,1,10,11,3,1,5,,,,3,3,1,5,5,2,,,
2010-06-11,,,,,,1,,13,17,7,7,2,2,3,4,3,4,4,3,4,5,1,,1
2010-06-12,,,,1,,,6,4,9,4,12,11,9,16,12,4,8,6,5,5,3,,1,
2010-06-13,1,,,1,,,2,2,3,1,4,5,10,8,14,6,7,9,1,1,,,2,
2010-06-14,,,,,,1,1,11,10,5,5,1,1,,1,,4,5,2,2,3,,,
2010-06-15,,,,,,5,4,28,29,8,4,5,3,1,,2,7,4,11,9,2,3,,
2010-06-16,,,,,,1,12,31,52,14,7,2,4,9,2,,,,8,9,9,,,
2010-06-17,,,,,,2,9,39,60,18,11,1,7,5,7,1,9,11,8,10,3,5,1,
2010-06-18,,,,,,1,7,37,42,20,3,7,4,4,3,11,5,7,5,3,,,3,1
2010-06-19,,,,,,,4,2,3,7,12,4,9,6,10,1,6,2,8,3,1,1,,1
2010-06-20,1,,,,,,2,2,5,6,9,14,17,16,24,12,20,10,17,5,3,2,,
2010-06-21,,,,,,5,13,41,62,24,6,1,4,5,9,5,10,12,16,12,8,3,1,
2010-06-22,,,,,,2,14,55,75,19,18,1,4,5,8,4,7,4,14,9,4,7,1,
2010-06-23,,,,,,3,13,47,59,21,6,8,4,6,3,3,2,8,9,9,6,2,2,
2010-06-24,,,,,,2,5,33,58,21,8,3,7,7,10,13,9,6,10,9,7,6,,
2010-06-25,,,,,,,9,48,52,23,11,9,10,8,6,3,11,7,12,8,1,1,2,
2010-06-26,,,,,,1,,3,7,6,5,3,14,16,12,7,,9,9,5,4,4,1,
2010-06-27,,,,,,2,2,2,6,8,13,9,6,10,10,12,6,1,5,4,,4,,
2010-06-28,1,3,,,1,3,14,38,52,22,6,9,3,5,2,4,4,5,11,8,2,2,,
2010-06-29,,,,,,,10,22,41,12,5,3,5,3,1,9,3,9,14,7,6,2,,
2010-06-30,,,,,,,14,39,53,23,10,3,4,3,6,3,13,10,14,6,5,6,2,
2010-07-01,,,,,,2,10,35,56,16,9,7,11,7,3,4,5,7,14,4,5,3,2,
2010-07-02,,,,,,1,5,18,40,18,12,7,3,7,7,5,5,12,8,3,3,2,3,3
2010-07-03,,,,,,1,5,2,5,6,10,6,13,8,8,11,10,10,13,10,4,2,,
2010-07-04,,1,1,,,1,3,5,6,13,10,5,19,11,14,12,17,10,7,1,2,3,,
2010-07-05,,,,,,2,17,44,66,20,8,6,3,6,7,10,8,11,9,7,5,1,1,
2010-07-06,,,,,,2,12,41,51,22,10,7,6,5,1,13,10,9,8,6,8,3,,
2010-07-07,,,,,,3,9,42,53,20,4,4,5,1,3,2,2,5,13,4,8,4,,1
2010-07-08,,,,,,1,9,30,51,18,2,10,4,9,4,3,8,8,14,9,6,2,,
2010-07-09,,,,1,,3,8,32,42,25,9,4,1,10,4,5,5,8,11,9,4,,,1
2010-07-10,,1,,,,1,3,,4,10,3,13,10,11,7,13,4,12,7,5,2,3,2,
2010-07-11,,,1,,,,2,3,5,1,12,23,11,13,11,7,6,7,7,5,1,,3,1
2010-07-12,,,,,,2,10,28,55,27,3,2,1,,1,,5,3,4,3,1,1,,
2010-07-13,,,1,,,3,10,36,55,22,5,3,5,3,3,4,7,4,9,5,,,,
2010-07-14,,,,,,,1,6,12,5,3,3,5,1,2,2,7,7,2,,,,,
2010-07-15,,,,,,,2,6,12,3,1,1,2,1,1,,3,4,,5,1,2,,
2010-07-16,,,,,,,,5,7,1,,1,,3,2,1,2,3,2,1,3,,1,
2010-07-17,,,,,,,2,1,4,2,4,5,4,5,1,7,2,16,4,1,,,,
